feature,is_extra_feature,count,runs
fft_ring_00_10_ratio,True,11,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk40,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
fft_ring_20_35_ratio,True,11,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk40,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
residual_gb_corr,False,11,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk40,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
saturation_mean,False,11,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk40,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
gray_std,False,10,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk40,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
noise_gray_std,False,10,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk40,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
normal_z_entropy,False,10,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk40,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
residual_rgb_abs_std_ratio,False,10,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk40,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
chroma_laplacian_entropy,True,9,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk40,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
edge_p99,False,9,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk40,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
fft_centroid,False,9,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk40,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
gray_mean,False,9,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk40,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
gray_skew,False,9,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
integrability_p95,False,9,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
jpeg_q95_abs_mean,False,9,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk40,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
saturation_std,False,9,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk40,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
chroma_laplacian_abs_mean,True,8,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk40,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
ela_abs_p95,False,8,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk40,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
gb_corr,False,8,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk40,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
jpeg_q50_q95_mean_ratio,True,8,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk40,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
jpeg_q70_q95_mean_ratio,False,8,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk40,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
jpeg_q95_abs_p95,False,8,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk40,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
noise_abs_p99,False,8,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk40,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
noise_neighbor_corr_y,False,8,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk40,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
noise_tile8_entropy_std,False,8,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk40,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
residual_chroma_luma_abs_ratio,False,8,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk40,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
residual_tile16_std_p90,False,8,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk40,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
ela_abs_mean,False,7,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk40,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
fft_spectral_flatness,True,7,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
integrability_abs_mean,False,7,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk40,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
jpeg_block_row_ratio,False,7,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk40,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
jpeg_q70_abs_mean,False,7,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk40,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
normal_xy_std,False,7,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk40,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
recon_half_tile16_std_p90,True,7,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk40,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
chroma_u_std,False,6,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
edge_saturation_corr,False,6,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
fft_high_ratio,False,6,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
fft_ring_55_100_ratio,True,6,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
high_frequency_std,False,6,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk40,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
jpeg_q90_q95_mean_delta,False,6,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
laplacian_std,False,6,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk40,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
noise_laplacian_abs_p95,False,6,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk40,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
residual_tile16_std_mean,False,6,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk40,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
chroma_edge_corr,True,5,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk40,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
chroma_noise_corr,False,5,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk40,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
edge_mean,False,5,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk40,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
edge_p90,False,5,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
edge_std,False,5,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk40,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
ela_abs_std,False,5,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
fft_high_low_ratio,True,5,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk40,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
gradient_orientation_entropy,False,5,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk40,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
jpeg_q50_abs_mean,True,5,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk40,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
noise_laplacian_abs_mean,False,5,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
normal_z_std,False,5,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk40,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
recon_half_abs_p95,True,5,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk40,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
recon_half_laplacian_abs_mean,True,5,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
recon_half_tile16_std_mean,True,5,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk40,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
residual_phase8_std,False,5,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk40,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
slope_mean,False,5,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk40,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
slope_std,False,5,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk40,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
chroma_boundary_col_ratio,True,4,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk40,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
chroma_boundary_row_ratio,True,4,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk40,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
chroma_v_std,False,4,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
fft_radial_slope,True,4,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
fft_ring_35_55_ratio,True,4,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
integrability_std,False,4,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
jpeg_q70_abs_p95,False,4,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk40,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
laplacian_abs_mean,False,4,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
noise_abs_mean,False,4,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
noise_abs_p90,False,4,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
noise_multiscale_abs_mean,False,4,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
noise_multiscale_abs_p95,False,4,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk40,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
noise_neighbor_corr_x,False,4,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk40,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
normal_z_mean,False,4,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
normal_z_p05,False,4,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk40,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
recon_quarter_abs_mean,True,4,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
recon_quarter_abs_p95,True,4,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk40,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
rg_corr,False,4,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk40,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
ela_phase8_std,False,3,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
jpeg_block_col_ratio,False,3,combined_v4_logreg_selectk80
jpeg_q50_abs_p95,True,3,"combined_v4_hgb_selectk60,combined_v4_logreg_selectk60,combined_v4_logreg_selectk80"
rb_corr,False,2,combined_v4_logreg_selectk80
recon_half_abs_mean,True,2,combined_v4_logreg_selectk80
jpeg_q70_phase8_contrast_delta,True,1,combined_v4_logreg_selectk80
recon_quarter_laplacian_abs_mean,True,1,combined_v4_logreg_selectk80
