run,feature_set,classifier,select_k,n_runs,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,precision_mean,precision_std,precision_min,precision_max,recall_mean,recall_std,recall_min,recall_max,f1_mean,f1_std,f1_min,f1_max,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_max,brier_score_mean,brier_score_std,brier_score_min,brier_score_max,expected_calibration_error_mean,expected_calibration_error_std,expected_calibration_error_min,expected_calibration_error_max
combined_v4_logreg_selectk60,combined_v4,logistic_regression,60,3,0.7388888888888889,0.007856742013183886,0.7333333333333333,0.75,0.731339605734767,0.009569844230208766,0.71875,0.7419354838709677,0.7555555555555555,0.015713484026367772,0.7333333333333333,0.7666666666666667,0.7431223926200129,0.008518730508276843,0.7333333333333333,0.7540983606557377,0.8218518518518518,0.009266663706071697,0.8088888888888889,0.83,0.17442168295335234,0.004861019699175936,0.16754748545241124,0.1779164472239053,0.1448050429927308,0.006562970836368915,0.13955152693379202,0.15405821076371162
combined_v4_logreg_selectk80,combined_v4,logistic_regression,80,3,0.7611111111111111,0.007856742013183886,0.75,0.7666666666666667,0.7473118279569894,0.003801649361217994,0.7419354838709677,0.75,0.7888888888888891,0.01571348402636772,0.7666666666666667,0.8,0.7674951524766437,0.009472962342707156,0.7540983606557377,0.7741935483870968,0.804074074074074,0.017077247234664413,0.78,0.8177777777777777,0.1872473122310212,0.007363637414290305,0.18011076541401666,0.19738346266335932,0.1559514041584205,0.023676865007640494,0.12945310437741378,0.18692824387083723
combined_v3_logreg,combined_v3,logistic_regression,0,3,0.7277777777777779,0.02832788618662662,0.7,0.7666666666666667,0.7108238456672993,0.0195286992292993,0.6875,0.7352941176470589,0.7666666666666666,0.04714045207910321,0.7333333333333333,0.8333333333333334,0.7374129649215583,0.031359230947458974,0.7096774193548387,0.78125,0.8033333333333333,0.036929473435596855,0.7511111111111111,0.83,0.18763186291620904,0.022048498363138293,0.16519068895804537,0.21760077525086718,0.14505823225416759,0.00554918595232644,0.14004864725066,0.15279449115356933
combined_v4_logreg,combined_v4,logistic_regression,0,3,0.7166666666666667,0.04906533814626582,0.65,0.7666666666666667,0.6990662931839403,0.049853823800744386,0.6285714285714286,0.7352941176470589,0.7666666666666666,0.04714045207910321,0.7333333333333333,0.8333333333333334,0.7305021367521368,0.04263831199938688,0.676923076923077,0.78125,0.8007407407407406,0.018885257457751072,0.7822222222222222,0.8266666666666667,0.188137588124253,0.011959841093265929,0.17586058905609006,0.2043514620372101,0.155354955119785,0.020225959895823698,0.13535415607366302,0.18306439777619138
combined_v4_logreg_selectk40,combined_v4,logistic_regression,40,3,0.7222222222222223,0.034246744460938776,0.6833333333333333,0.7666666666666667,0.7045454545454546,0.03443985277016631,0.6666666666666666,0.75,0.7666666666666667,0.027216552697590907,0.7333333333333333,0.8,0.7342549923195083,0.03107269786031822,0.6984126984126984,0.7741935483870968,0.7737037037037037,0.04655483366657977,0.7255555555555555,0.8366666666666667,0.19597519655673254,0.022987844008040968,0.1641924084277449,0.2177870840354571,0.12471354737750112,0.03027520038739998,0.08908388286145054,0.1630899187948671
combined_v4_hgb_selectk60,combined_v4,hist_gradient_boosting,60,3,0.6833333333333332,0.07071067811865477,0.6333333333333333,0.7833333333333333,0.6760539341184503,0.07059504491347841,0.6111111111111112,0.7741935483870968,0.7111111111111111,0.08314794192830983,0.6,0.8,0.6914138559135732,0.07006930438823035,0.6206896551724138,0.7868852459016393,0.7555555555555555,0.0865098295992077,0.68,0.8766666666666667,0.22886948688093733,0.05831423199210458,0.14913599779872397,0.2869777367964892,0.21350171882611205,0.057808438941649165,0.13272617604892267,0.2648076945585265
combined_v3_hgb,combined_v3,hist_gradient_boosting,0,3,0.6666666666666666,0.059317101400173954,0.6166666666666667,0.75,0.6438191438191438,0.04987003151731107,0.6060606060606061,0.7142857142857143,0.7444444444444445,0.06849348892187755,0.6666666666666666,0.8333333333333334,0.6902726902726902,0.05731629382917038,0.6349206349206349,0.7692307692307693,0.7388888888888889,0.07768777861737368,0.6511111111111111,0.8400000000000001,0.23825751927432734,0.05003736199406371,0.17375940296947875,0.29571770865547925,0.21051583963686651,0.0536133102611812,0.15322776858262133,0.28217310849868893
combined_v4_hgb,combined_v4,hist_gradient_boosting,0,3,0.65,0.07200822998230953,0.5833333333333334,0.75,0.646377560356055,0.0721637602803986,0.5675675675675675,0.7419354838709677,0.6777777777777777,0.08314794192830982,0.5666666666666667,0.7666666666666667,0.6591517534559014,0.06827295887168075,0.5964912280701754,0.7540983606557377,0.7140740740740741,0.0807696176699256,0.6477777777777778,0.8277777777777778,0.24812632852089622,0.04717607632796939,0.18162674363091405,0.2860373626082645,0.21399374909589683,0.0458827661317474,0.15171225376051678,0.2609016729832755
