branch,branch_label,score_mode,constraint_policy,n_seeds,target_accuracy_mean,target_accuracy_std,target_roc_auc_mean,target_roc_auc_std,target_brier_score_mean,target_brier_score_std,target_expected_calibration_error_mean,target_expected_calibration_error_std,target_precision_mean,target_precision_std,target_recall_mean,target_recall_std,target_f1_mean,target_f1_std,target_predicted_positive_rate_mean,target_predicted_positive_rate_std,source_predicted_positive_rate_mean,source_predicted_positive_rate_std,threshold_source_predicted_positive_rate_mean,threshold_source_predicted_positive_rate_std,selected_configs,source_report,target_accuracy_mean_delta_vs_clean_global,target_accuracy_mean_delta_vs_previous_tiled_v3,target_roc_auc_mean_delta_vs_clean_global,target_roc_auc_mean_delta_vs_previous_tiled_v3,target_brier_score_mean_delta_vs_clean_global,target_brier_score_mean_delta_vs_previous_tiled_v3,target_expected_calibration_error_mean_delta_vs_clean_global,target_expected_calibration_error_mean_delta_vs_previous_tiled_v3,target_predicted_positive_rate_mean_delta_vs_clean_global,target_predicted_positive_rate_mean_delta_vs_previous_tiled_v3
combined_v3,combined_v3 conventional,global,cap_0p4,3,0.7631578947368421,0.0526315789473684,0.8361042692939243,0.0479053882104721,0.2850544230402539,0.0290904321149832,0.3042382356072251,0.0247530688717199,0.7493936188531647,0.0713733229980421,0.7857142857142857,0.0535714285714286,0.7657474773114618,0.0481200623958275,0.5175438596491229,0.0526315789473684,0.4000000000000001,6.798699777552591e-17,0.4000000000000001,6.798699777552591e-17,seed7:C0.3:mean0p35x8:cap0.4; seed17:C0.03:mean0p35x8:cap0.4; seed29:C0.3:none:cap0.4,reports/ms_cocoai_to_ishu_tuned_fusion_native_tiling_2026_06_13.md,0.0,-0.011695906432748426,0.0,-0.011083743842364546,0.0,-0.01250447429616558,0.0,-0.01456794439756548,0.0,-0.029239766081871288
combined_v3,combined_v3 conventional,tile_mean,cap_0p4,3,0.7748538011695906,0.0622333235491016,0.8326149425287356,0.0483377652609409,0.2854273523539135,0.0259080555230928,0.3049363084951767,0.0226632537897396,0.7651811151811151,0.0880791878991367,0.7916666666666666,0.0371726071333237,0.7768601693550984,0.054694250641806,0.5116959064327485,0.049879304412959,0.4000000000000001,6.798699777552591e-17,0.4000000000000001,6.798699777552591e-17,seed7:C0.3:mean0p35x8:cap0.4; seed17:C0.03:mean0p35x8:cap0.4; seed29:C0.3:none:cap0.4,reports/ms_cocoai_to_ishu_tuned_fusion_native_tiling_2026_06_13.md,0.011695906432748426,0.0,-0.0034893267651887605,-0.014573070607553307,0.0003729293136595646,-0.012131544982506015,0.0006980728879515952,-0.013869871509613885,-0.005847953216374324,-0.03508771929824561
combined_v3,combined_v3 conventional,tile_max,cap_0p4,3,0.7748538011695906,0.0570737464793659,0.8471880131362889,0.0478855969563732,0.2975588973364195,0.0151560361598309,0.3188061800047906,0.0177604757298475,0.7447934788011333,0.0618941732048402,0.8273809523809524,0.0515491311776451,0.7834938046397751,0.0530658671997508,0.5467836257309941,0.0308060051253003,0.4000000000000001,6.798699777552591e-17,0.4000000000000001,6.798699777552591e-17,seed7:C0.3:mean0p35x8:cap0.4; seed17:C0.03:mean0p35x8:cap0.4; seed29:C0.3:none:cap0.4,reports/ms_cocoai_to_ishu_tuned_fusion_native_tiling_2026_06_13.md,0.011695906432748426,0.0,0.011083743842364546,0.0,0.01250447429616558,0.0,0.01456794439756548,0.0,0.029239766081871288,0.0
combined_v3,combined_v3 conventional,tile_top2_mean,cap_0p4,3,0.7719298245614036,0.0575213905640526,0.8469827586206896,0.0495804380445167,0.2947284516245459,0.0176025513270838,0.3154399085334755,0.019767780184137,0.7470622378941564,0.0687209874238135,0.8154761904761906,0.0412393049421161,0.7791771568446371,0.051561505000522,0.5380116959064328,0.0354513323186612,0.4000000000000001,6.798699777552591e-17,0.4000000000000001,6.798699777552591e-17,seed7:C0.3:mean0p35x8:cap0.4; seed17:C0.03:mean0p35x8:cap0.4; seed29:C0.3:none:cap0.4,reports/ms_cocoai_to_ishu_tuned_fusion_native_tiling_2026_06_13.md,0.00877192982456143,-0.0029239766081869956,0.010878489326765273,-0.00020525451559927355,0.009674028584292005,-0.002830445711873575,0.01120167292625035,-0.00336627147131513,0.020467836257309968,-0.00877192982456132
clip_vit_b_32,CLIP ViT-B/32,global,cap_0p4,3,0.7631578947368421,0.0526315789473684,0.8362068965517242,0.0477484828563597,0.2850949186645425,0.0291862163271011,0.3042431545707323,0.0247978412074735,0.7493936188531647,0.0713733229980421,0.7857142857142857,0.0535714285714286,0.7657474773114618,0.0481200623958275,0.5175438596491229,0.0526315789473684,0.4000000000000001,6.798699777552591e-17,0.4000000000000001,6.798699777552591e-17,seed7:C0.3:mean0p35x8:cap0.4; seed17:C0.03:mean0p35x8:cap0.4; seed29:C0.3:none:cap0.4,reports/ms_cocoai_to_ishu_tuned_fusion_tiled_clip_2026_06_14.md,0.0,-0.011695906432748426,0.00010262725779985882,-0.010981116584564687,4.0495624288594545e-05,-0.012463978671876985,4.918963507183349e-06,-0.014563025434058297,0.0,-0.029239766081871288
clip_vit_b_32,CLIP ViT-B/32,tile_mean,cap_0p4,3,0.7573099415204677,0.0483120223446149,0.8440065681444993,0.0541034512099381,0.2427069389392413,0.046796583953179,0.2574645837927453,0.0386194811513449,0.7605758347481607,0.0819393576365005,0.75,0.0472455591261534,0.7530460015460765,0.0411097419453757,0.4883040935672514,0.0622333235491016,0.4000000000000001,6.798699777552591e-17,0.4000000000000001,6.798699777552591e-17,seed7:C0.3:mean0p35x8:cap0.4; seed17:C0.03:mean0p35x8:cap0.4; seed29:C0.3:none:cap0.4,reports/ms_cocoai_to_ishu_tuned_fusion_tiled_clip_2026_06_14.md,-0.005847953216374435,-0.01754385964912286,0.007902298850574918,-0.003181444991789628,-0.042347484101012606,-0.054851958397178185,-0.046773651814479844,-0.061341596212045324,-0.029239766081871454,-0.05847953216374274
clip_vit_b_32,CLIP ViT-B/32,tile_max,cap_0p4,3,0.7660818713450293,0.0528746822222956,0.8405172413793102,0.0597473119756094,0.3023859213812109,0.0291004810681585,0.3274195917106985,0.0197512053756764,0.7531596444941903,0.0695655951597357,0.7857142857142857,0.0535714285714286,0.7679054203784957,0.049004570435172,0.5146198830409356,0.0483120223446149,0.4000000000000001,6.798699777552591e-17,0.4000000000000001,6.798699777552591e-17,seed7:C0.3:mean0p35x8:cap0.4; seed17:C0.03:mean0p35x8:cap0.4; seed29:C0.3:none:cap0.4,reports/ms_cocoai_to_ishu_tuned_fusion_tiled_clip_2026_06_14.md,0.0029239766081871066,-0.00877192982456132,0.0044129720853858245,-0.006670771756978722,0.017331498340956986,0.004827024044791406,0.023181356103473383,0.008613411705907903,-0.0029239766081872176,-0.032163742690058506
clip_vit_b_32,CLIP ViT-B/32,tile_top2_mean,cap_0p4,3,0.7690058479532164,0.0570737464793659,0.8466748768472905,0.0605024895758323,0.2865227136551066,0.0370227453126829,0.3154374929905946,0.0257411427063557,0.7584813667970448,0.078448171497754,0.7857142857142857,0.0535714285714286,0.7703972088030059,0.0521043061981656,0.5116959064327485,0.0528746822222956,0.4000000000000001,6.798699777552591e-17,0.4000000000000001,6.798699777552591e-17,seed7:C0.3:mean0p35x8:cap0.4; seed17:C0.03:mean0p35x8:cap0.4; seed29:C0.3:none:cap0.4,reports/ms_cocoai_to_ishu_tuned_fusion_tiled_clip_2026_06_14.md,0.005847953216374213,-0.005847953216374213,0.01057060755336614,-0.0005131362889984059,0.0014682906148527075,-0.011036183681312872,0.011199257383369465,-0.0033686870141960146,-0.005847953216374324,-0.03508771929824561
dinov2_vits14,DINOv2-small,global,cap_0p4,3,0.7631578947368421,0.0526315789473684,0.8361042692939243,0.0479053882104721,0.2850544122943164,0.0290904218411321,0.3042382269659098,0.0247530677930211,0.7493936188531647,0.0713733229980421,0.7857142857142857,0.0535714285714286,0.7657474773114618,0.0481200623958275,0.5175438596491229,0.0526315789473684,0.4000000000000001,6.798699777552591e-17,0.4000000000000001,6.798699777552591e-17,seed7:C0.3:mean0p35x8:cap0.4; seed17:C0.03:mean0p35x8:cap0.4; seed29:C0.3:none:cap0.4,reports/ms_cocoai_to_ishu_tuned_fusion_tiled_dinov2_2026_06_14.md,0.0,-0.011695906432748426,0.0,-0.011083743842364546,-1.0745937528700011e-08,-0.012504485042103108,-8.641315329960264e-09,-0.01456795303888081,0.0,-0.029239766081871288
dinov2_vits14,DINOv2-small,tile_mean,cap_0p4,3,0.7660818713450293,0.0528746822222956,0.8402093596059114,0.0434244294249512,0.2795890641695226,0.027246586471469,0.3072110148886293,0.0249082581807252,0.7531596444941903,0.0695655951597357,0.7857142857142857,0.0535714285714286,0.7679054203784957,0.049004570435172,0.5146198830409356,0.0483120223446149,0.4000000000000001,6.798699777552591e-17,0.4000000000000001,6.798699777552591e-17,seed7:C0.3:mean0p35x8:cap0.4; seed17:C0.03:mean0p35x8:cap0.4; seed29:C0.3:none:cap0.4,reports/ms_cocoai_to_ishu_tuned_fusion_tiled_dinov2_2026_06_14.md,0.0029239766081871066,-0.00877192982456132,0.004105090311987025,-0.006978653530377521,-0.005465358870731296,-0.017969833166896876,0.0029727792814041587,-0.011595165116161321,-0.0029239766081872176,-0.032163742690058506
dinov2_vits14,DINOv2-small,tile_max,cap_0p4,3,0.7777777777777777,0.0441510785688348,0.8485221674876846,0.0350268800418033,0.2911422689538765,0.0313814025026259,0.3180864081210832,0.0333745843297019,0.7523488562091504,0.0706760588745752,0.8273809523809524,0.0412393049421161,0.7861681329423265,0.0342802371554124,0.543859649122807,0.0632552855344559,0.4000000000000001,6.798699777552591e-17,0.4000000000000001,6.798699777552591e-17,seed7:C0.3:mean0p35x8:cap0.4; seed17:C0.03:mean0p35x8:cap0.4; seed29:C0.3:none:cap0.4,reports/ms_cocoai_to_ishu_tuned_fusion_tiled_dinov2_2026_06_14.md,0.014619883040935533,0.0029239766081871066,0.012417898193760268,0.0013341543513957221,0.006087845913622603,-0.006416628382542977,0.01384817251385806,-0.0007197718837074207,0.02631578947368418,-0.0029239766081871066
