config,variant,n_seeds,accuracy,accuracy_std,auc,brier,ece,precision,recall,f1,predicted_fake_rate,threshold,threshold_source_predicted_positive_rate
cap_0p45,ishu_test,3,0.7192982456140351,0.0455802844097073,0.8291256157635468,0.2188109387984678,0.20599085203975545,0.6716651575780589,0.8392857142857143,0.7459447130462445,0.6140350877192983,0.6847100125981173,0.45
cap_0p45,train,3,0.9383333333333334,0.01607275126832153,0.9929666666666667,0.0477481625337754,0.12577516851599638,0.9857073643410853,0.89,0.9349190094197773,0.45166666666666666,0.6847100125981173,0.45
cap_0p48,ishu_test,3,0.7222222222222222,0.04831202234461495,0.8291256157635468,0.2188109387984678,0.20599085203975545,0.6711375972245537,0.8511904761904762,0.7503426943426943,0.6228070175438597,0.665700224539442,0.4749999999999999
cap_0p48,train,3,0.9483333333333333,0.007637626158259752,0.9929666666666667,0.0477481625337754,0.12577516851599638,0.9859870179457809,0.91,0.9461750823759907,0.46166666666666667,0.665700224539442,0.4749999999999999
cap_0p50,ishu_test,3,0.7192982456140351,0.0533575660552475,0.8291256157635468,0.2188109387984678,0.20599085203975545,0.6624170005521498,0.8869047619047619,0.7573466150156798,0.6608187134502924,0.6279927244667561,0.4916666666666667
cap_0p50,train,3,0.955,0.010000000000000009,0.9929666666666667,0.0477481625337754,0.12577516851599638,0.9759267078854709,0.9333333333333332,0.9538490727928495,0.47833333333333333,0.6279927244667561,0.4916666666666667
tie_higher,ishu_test,3,0.7192982456140351,0.0533575660552475,0.8291256157635468,0.2188109387984678,0.20599085203975545,0.6624170005521498,0.8869047619047619,0.7573466150156798,0.6608187134502924,0.6279927244667561,
tie_higher,train,3,0.955,0.010000000000000009,0.9929666666666667,0.0477481625337754,0.12577516851599638,0.9759267078854709,0.9333333333333332,0.9538490727928495,0.47833333333333333,0.6279927244667561,
