constraint_policy,n_seeds,target_accuracy_mean,target_accuracy_std,target_roc_auc_mean,target_roc_auc_std,target_brier_score_mean,target_brier_score_std,target_expected_calibration_error_mean,target_expected_calibration_error_std,target_precision_mean,target_precision_std,target_recall_mean,target_recall_std,target_f1_mean,target_f1_std,target_predicted_positive_rate_mean,target_predicted_positive_rate_std,source_predicted_positive_rate_mean,source_predicted_positive_rate_std,threshold_source_predicted_positive_rate_mean,threshold_source_predicted_positive_rate_std,selection_validation_utility_mean_mean,selection_validation_utility_mean_std,selection_validation_utility_min_mean,selection_validation_utility_min_std,selected_configs
cap_0p4,3,0.7631578947368421,0.05263157894736842,0.8361042692939243,0.0479053882104721,0.2850544237268182,0.02909042978169935,0.3042382361545629,0.02475306725159917,0.7493936188531647,0.07137332299804211,0.7857142857142857,0.0535714285714286,0.7657474773114618,0.04812006239582753,0.5175438596491229,0.05263157894736842,0.4000000000000001,6.798699777552591e-17,0.4000000000000001,6.798699777552591e-17,1.0839833972506607,0.10125525581720439,0.4372549019607843,0.05921438772761364,seed7:C0.3:mean0p35x8:cap0.4; seed17:C0.03:mean0p35x8:cap0.4; seed29:C0.3:none:cap0.4
cap_0p42,3,0.7514619883040936,0.06161201025060078,0.8294334975369457,0.049488583358109905,0.22689038099072525,0.051662969040140415,0.20720373519675153,0.05780107289813819,0.733044733044733,0.07747990625488489,0.7857142857142857,0.03092947870658711,0.7576652282534636,0.052477500378750055,0.5292397660818714,0.040515808364184294,0.42,0.0,0.42,0.0,1.1480503488176124,0.08286645150975176,0.4789215686274509,0.12867717086644173,seed7:C0.01:none:cap0.42; seed17:C0.01:mean0p35x8:cap0.42; seed29:C0.01:none:cap0.42
cap_0p45,3,0.7339181286549707,0.05970929197854428,0.8326149425287355,0.05058295464024125,0.25158589893007594,0.033086543198843556,0.26198812791688725,0.025536015978216416,0.6844030365769496,0.04989619396897858,0.8511904761904762,0.057402683101148565,0.7587301587301587,0.05340509155955789,0.6111111111111112,0.005064476045523049,0.45,0.0,0.45,0.0,1.242759481921886,0.07113530359253377,0.569607843137255,0.18391958274775522,seed7:C0.01:mean0p35x8:cap0.45; seed17:C0.01:mean0p35x8:cap0.45; seed29:C0.01:mean0p35x8:cap0.45
cap_0p48,3,0.7339181286549707,0.06641998065263476,0.8340517241379312,0.053434121357920875,0.27484142643462994,0.048868291464792574,0.2954205005283228,0.05475376497093748,0.6680915826483605,0.06012261309198693,0.9226190476190476,0.06760605173571753,0.7736946209455793,0.05062842162508742,0.6812865497076023,0.0664199806526348,0.47,0.013228756555322933,0.47,0.013228756555322933,1.4259530052688623,0.06490526367296182,0.8083120204603581,0.060391777177112055,seed7:C1:none:cap0.48; seed17:C1:none:cap0.48; seed29:C0.01:mean0p35x8:cap0.48
cap_0p5,3,0.7076023391812866,0.06345770296552838,0.8335385878489326,0.05699916419947141,0.2739963114245094,0.04094331190386352,0.2666752488637664,0.09342497491644125,0.6505960729312763,0.06513174567257209,0.8988095238095238,0.09834947405868037,0.7516009507829978,0.048437545784630144,0.6842105263157894,0.11470786693528089,0.47,0.014999999999999986,0.47,0.014999999999999986,1.5010519917233471,0.04507134152136106,0.9768968456947995,0.055998161315972225,seed7:C1:none:cap0.5; seed17:C0.01:none:cap0.5; seed29:C1:mean0p35x8:cap0.5
