score_mode,n_seeds,n_images_total,mean_tiles,accuracy_mean,accuracy_std,roc_auc_mean,roc_auc_std,brier_score_mean,brier_score_std,expected_calibration_error_mean,expected_calibration_error_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,predicted_fake_rate_mean,predicted_fake_rate_std
global,3,342,6.87719298245614,0.6169590643274855,0.028197809242669482,0.6638957307060754,0.0272076454621117,0.3483439123252259,0.027178860865962478,0.35791339297435787,0.024658525848909006,0.5793443015665237,0.020109629588636088,0.8035714285714285,0.0472455591261534,0.6730597433942025,0.027700924983021714,0.6812865497076025,0.03080600512530039
tile_mean,3,342,6.87719298245614,0.6549707602339182,0.018260228065492386,0.680623973727422,0.030518109432874044,0.29558557166294613,0.02594651267114649,0.26288577934065244,0.04154213640678735,0.607077457954651,0.015472003792611745,0.8452380952380952,0.020619652471058052,0.7065013784183973,0.013385598192736775,0.6842105263157894,0.023208344833899927
tile_max,3,342,6.87719298245614,0.5964912280701755,0.03823595564509362,0.7380439244663383,0.015158553198709233,0.3651348158354583,0.031591000390620204,0.3758849812869687,0.029827358485365354,0.5529915952016158,0.024213241031781234,0.9404761904761904,0.010309826235528995,0.6963479348584349,0.02210744252335207,0.8362573099415206,0.028197809242669482
tile_top2_mean,3,342,6.87719298245614,0.6228070175438597,0.04019803241189334,0.7456896551724137,0.016408249972131465,0.3484042753228231,0.0331525842967933,0.3597834917675449,0.029047301653826883,0.5710864137219779,0.027265587116042645,0.9404761904761904,0.010309826235528995,0.7104870750968755,0.02393194554803327,0.8099415204678362,0.03080600512530039
