variant,score_mode,constraint_policy,seed,tile_branch,fusion_c,dropout_config,source_fake_rate_cap,selection_validation_utility_mean,selection_validation_utility_min,threshold,threshold_source_utility,threshold_source_predicted_positive_rate,source_utility,source_accuracy,source_precision,source_recall,source_f1,source_roc_auc,source_brier_score,source_expected_calibration_error,source_predicted_positive_rate,target_utility,target_accuracy,target_precision,target_recall,target_f1,target_roc_auc,target_brier_score,target_expected_calibration_error,target_predicted_positive_rate
blur1,global,cap_0p4,7,dinov2_vits14,0.3,mean0p35x8,0.4,0.9679659215464842,0.4294117647058821,0.986242431336219,1.425,0.4,1.425,0.89,0.9875,0.79,0.8777777777777778,0.992,0.02622799521272439,0.025279530084538156,0.4,-0.4322660098522167,0.7017543859649122,0.6666666666666666,0.7857142857142857,0.7213114754098361,0.8020320197044335,0.3320471535807695,0.36180913261549197,0.5789473684210527
blur1,tile_mean,cap_0p4,7,dinov2_vits14,0.3,mean0p35x8,0.4,0.9679659215464842,0.4294117647058821,0.986242431336219,1.425,0.4,1.425,0.89,0.9875,0.79,0.8777777777777778,0.992,0.02622799521272439,0.025279530084538156,0.4,-0.34605911330049227,0.7105263157894737,0.676923076923077,0.7857142857142857,0.7272727272727273,0.8069581280788177,0.3314367785143641,0.36237074168245026,0.5701754385964912
blur1,tile_max,cap_0p4,7,dinov2_vits14,0.3,mean0p35x8,0.4,0.9679659215464842,0.4294117647058821,0.986242431336219,1.425,0.4,1.425,0.89,0.9875,0.79,0.8777777777777778,0.992,0.02622799521272439,0.025279530084538156,0.4,-0.42918719211822676,0.7105263157894737,0.6666666666666666,0.8214285714285714,0.736,0.8149630541871921,0.3506729314295847,0.3818306846222734,0.6052631578947368
blur1,tile_top2_mean,cap_0p4,7,dinov2_vits14,0.3,mean0p35x8,0.4,0.9679659215464842,0.4294117647058821,0.986242431336219,1.425,0.4,1.425,0.89,0.9875,0.79,0.8777777777777778,0.992,0.02622799521272439,0.025279530084538156,0.4,-0.42918719211822676,0.7105263157894737,0.6666666666666666,0.8214285714285714,0.736,0.812192118226601,0.34574851883829394,0.3769577163613676,0.6052631578947368
blur1,global,cap_0p4,17,dinov2_vits14,0.03,mean0p35x8,0.4,1.1294388156600434,0.3823529411764708,0.9541108211355198,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9969,0.022660159621598223,0.030775615366997865,0.4,-0.6077586206896552,0.6754385964912281,0.6461538461538462,0.75,0.6942148760330579,0.7361453201970443,0.35188632092644107,0.352887228834195,0.5701754385964912
blur1,tile_mean,cap_0p4,17,dinov2_vits14,0.03,mean0p35x8,0.4,1.1294388156600434,0.3823529411764708,0.9541108211355198,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9969,0.022660159621598223,0.030775615366997865,0.4,-0.6077586206896552,0.6754385964912281,0.6461538461538462,0.75,0.6942148760330579,0.7435344827586207,0.3405905819190968,0.33743352481576455,0.5701754385964912
blur1,tile_max,cap_0p4,17,dinov2_vits14,0.03,mean0p35x8,0.4,1.1294388156600434,0.3823529411764708,0.9541108211355198,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9969,0.022660159621598223,0.030775615366997865,0.4,-0.5153940886699512,0.7017543859649122,0.6571428571428571,0.8214285714285714,0.7301587301587301,0.7669334975369458,0.35303814196295896,0.3791328272139918,0.6140350877192983
blur1,tile_top2_mean,cap_0p4,17,dinov2_vits14,0.03,mean0p35x8,0.4,1.1294388156600434,0.3823529411764708,0.9541108211355198,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9969,0.022660159621598223,0.030775615366997865,0.4,-0.5600369458128082,0.6929824561403509,0.6521739130434783,0.8035714285714286,0.72,0.7660098522167488,0.35010178519627105,0.371346137036792,0.6052631578947368
blur1,global,cap_0p4,29,dinov2_vits14,0.3,none,0.4,1.1545454545454543,0.5,0.9397460412935571,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9974999999999999,0.02205774835737781,0.043256238723679744,0.4,0.08497536945812806,0.7543859649122807,0.7333333333333333,0.7857142857142857,0.7586206896551724,0.8232758620689655,0.30010899727413726,0.3202108196282003,0.5263157894736842
blur1,tile_mean,cap_0p4,29,dinov2_vits14,0.3,none,0.4,1.1545454545454543,0.5,0.9397460412935571,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9974999999999999,0.02205774835737781,0.043256238723679744,0.4,0.12961822660098543,0.7631578947368421,0.7377049180327869,0.8035714285714286,0.7692307692307693,0.8235837438423645,0.29737265402778923,0.32283821987737416,0.5350877192982456
blur1,tile_max,cap_0p4,29,dinov2_vits14,0.3,none,0.4,1.1545454545454543,0.5,0.9397460412935571,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9974999999999999,0.02205774835737781,0.043256238723679744,0.4,0.12961822660098543,0.7631578947368421,0.7377049180327869,0.8035714285714286,0.7692307692307693,0.8275862068965516,0.3048649122807205,0.3321813730964195,0.5350877192982456
blur1,tile_top2_mean,cap_0p4,29,dinov2_vits14,0.3,none,0.4,1.1545454545454543,0.5,0.9397460412935571,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9974999999999999,0.02205774835737781,0.043256238723679744,0.4,0.12961822660098543,0.7631578947368421,0.7377049180327869,0.8035714285714286,0.7692307692307693,0.8272783251231526,0.30390899690175643,0.3382136264681114,0.5350877192982456
