score_mode,n_seeds,n_images_total,mean_tiles,accuracy_mean,accuracy_std,roc_auc_mean,roc_auc_std,brier_score_mean,brier_score_std,expected_calibration_error_mean,expected_calibration_error_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,predicted_fake_rate_mean,predicted_fake_rate_std
global,3,342,6.87719298245614,0.6578947368421052,0.045580284409707315,0.8081383415435139,0.03771216599835839,0.2860240103991915,0.03501556191755311,0.29502272858218054,0.042241335473244976,0.6030521922583012,0.03726074546802517,0.8988095238095237,0.05455447255899807,0.7209827474533356,0.03245314330435785,0.7339181286549707,0.06345770296552834
tile_mean,3,342,6.87719298245614,0.7309941520467836,0.028197809242669482,0.8198891625615764,0.06188653403572532,0.2099326391139373,0.0344819189642414,0.21346580503880844,0.039288074856838745,0.6603335278688965,0.024177014774805716,0.9345238095238096,0.05154913117764517,0.7732678668848881,0.023929606347954283,0.6959064327485381,0.048312022344614916
tile_max,3,342,6.87719298245614,0.6286549707602339,0.018260228065492386,0.8601703612479475,0.03149749920290676,0.31825241751243993,0.015045510638361062,0.3476190992584433,0.01753753736343128,0.5715873015873015,0.011667476486309232,0.9761904761904763,0.041239304942116105,0.7207579388030516,0.014879790209560305,0.8391812865497076,0.03955482239318323
tile_top2_mean,3,342,6.87719298245614,0.6637426900584796,0.018260228065492386,0.8761802134646963,0.04157553587280979,0.29352019620692077,0.015897754619670315,0.3268285741412,0.01459630512008424,0.5965767116441779,0.012718493404703874,0.9761904761904763,0.041239304942116105,0.7402905297642141,0.015041466760538797,0.8040935672514619,0.03955482239318324
