config,n_seeds,default_accuracy,default_accuracy_std,clean_threshold_accuracy,clean_threshold_accuracy_std,oracle_accuracy,oracle_accuracy_std,auc,auc_std
score_fusion_all6,3,0.652046783625731,0.018024602347862514,0.6637426900584795,0.025152997856849817,0.7719298245614035,0.039877724260192544,0.8274835796387521,0.036365111150542265
score_fusion_all6_temp_balanced,3,0.6578947368421053,0.024810764252159535,0.6637426900584795,0.016540509501439708,0.7631578947368421,0.042973504259354,0.8285098522167488,0.04452343746769324
score_fusion_all6_c01,3,0.6491228070175439,0.007162250709892356,0.6754385964912281,0.04962152850431912,0.7807017543859649,0.03987772426019259,0.8366174055829229,0.04047393178082231
score_fusion_all6_c01_temp_balanced,3,0.6578947368421053,0.018949534205870942,0.6842105263157895,0.03789906841174186,0.7777777777777778,0.03604920469572503,0.8323070607553367,0.04223657181245309
score_fusion_all6_c003,3,0.6608187134502924,0.018024602347862514,0.6666666666666667,0.037216146378239355,0.7748538011695907,0.03675381605256298,0.8314860426929392,0.041742178414993086
score_fusion_all6_dropout_mean_r35x8,3,0.652046783625731,0.00413512737535994,0.6578947368421053,0.007162250709892311,0.7807017543859649,0.03987772426019259,0.84061986863711,0.038462910883802374
score_fusion_all6_dropout_mean_r35x8_temp_balanced,3,0.652046783625731,0.014909413782435054,0.6432748538011696,0.016540509501439708,0.7777777777777778,0.04072628151223429,0.840311986863711,0.042631960762449524
