variant,best_accuracy_mode,best_accuracy_delta,best_accuracy_auc_delta,best_accuracy_brier_delta,best_accuracy_ece_delta,best_auc_mode,best_auc_delta,best_brier_mode,best_brier_delta,best_brier_accuracy_delta,best_brier_auc_delta,best_ece_mode,best_ece_delta,best_ece_accuracy_delta,best_ece_auc_delta
blur1,tile_max,0.014619883040935644,0.016009852216748777,0.00817783796397209,0.01941256795159907,tile_max,0.016009852216748777,tile_mean,-0.004880819106699297,0.005847953216374102,0.004207717569786551,tile_mean,-0.004088231567432821,0.005847953216374102,0.004207717569786551
jpeg30,tile_max,0.014619883040935644,0.012520525451559905,-0.0032477619110513056,0.009664968480734615,tile_max,0.012520525451559905,tile_mean,-0.008463965911901794,0.0,0.004515599343185683,tile_mean,-0.006029094024523701,0.0,0.004515599343185683
resize_half,tile_max,0.014619883040935644,0.013957307060755264,0.0076187947563179925,0.01263144979030717,tile_max,0.013957307060755264,tile_mean,-0.00423446826319096,-1.1102230246251565e-16,0.002770935960591081,global,0.0,0.0,0.0
screenshot,tile_max,0.011695906432748648,0.01631773399014791,0.006131304411729821,0.00677983610422217,tile_max,0.01631773399014791,tile_mean,-0.005691816621821111,0.005847953216374213,0.0044129720853858245,tile_mean,-0.005614631015469884,0.005847953216374213,0.0044129720853858245
