split,encoder,train_samples,test_samples,accuracy,roc_auc,brier_score,expected_calibration_error,precision,recall,f1,device
ishu_seed7_80_40,dinov2_vits14,80,40,0.7250,0.8225,0.1812,0.1651,0.7143,0.7500,0.7317,cuda
ishu_seed7_80_40_to_ms_cocoai_all4,dinov2_vits14,80,1000,0.6080,0.7059,0.2964,0.2566,0.7432,0.3300,0.4571,cuda
