score_mode,n_seeds,n_images_total,mean_tiles,accuracy_mean,accuracy_std,roc_auc_mean,roc_auc_std,brier_score_mean,brier_score_std,expected_calibration_error_mean,expected_calibration_error_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,predicted_fake_rate_mean,predicted_fake_rate_std
global,3,342,6.87719298245614,0.6169590643274854,0.050644760455230295,0.6669232348111658,0.031217121759725394,0.34715188858611984,0.03558591569199409,0.3498670456477655,0.02782681001872839,0.5791978302821676,0.038369069247602035,0.8095238095238094,0.05455447255899807,0.6749654629737064,0.041857125705899834,0.6871345029239766,0.03652045613098479
tile_mean,3,342,6.87719298245614,0.6549707602339182,0.04415107856883476,0.6818041871921183,0.03788103321437315,0.2939262357963582,0.03334754422049099,0.2621356402563479,0.05029497466509333,0.608446792657319,0.03870835477251411,0.8452380952380952,0.020619652471058052,0.7070485070485071,0.02778047835349824,0.6842105263157894,0.04641668966779981
tile_max,3,342,6.87719298245614,0.6052631578947368,0.04385964912280704,0.744663382594417,0.019148373513882794,0.36445925591862055,0.03945469418573817,0.38004932093010213,0.039399414113328514,0.5591319568763179,0.029158015086270583,0.9404761904761904,0.010309826235528995,0.701112942517279,0.025362652938276737,0.827485380116959,0.03545133231866123
tile_top2_mean,3,342,6.87719298245614,0.6169590643274854,0.05359737654919111,0.7557984400656815,0.016605886320154434,0.34972372742407715,0.041767337548982326,0.3580849318076258,0.04112118537228462,0.56772420445592,0.03753450263418094,0.9404761904761904,0.010309826235528995,0.7076613527723774,0.031150183087468645,0.8157894736842106,0.04641668966779981
