policy,n_seeds,source_fake_rate_cap,fake_detection_weight,real_clearance_weight,real_fpr_penalty,fake_miss_penalty,target_accuracy_mean,target_accuracy_std,target_roc_auc_mean,target_roc_auc_std,target_brier_score_mean,target_brier_score_std,target_expected_calibration_error_mean,target_expected_calibration_error_std,target_precision_mean,target_precision_std,target_recall_mean,target_recall_std,target_f1_mean,target_f1_std,target_predicted_positive_rate_mean,target_predicted_positive_rate_std,source_accuracy_mean,source_accuracy_std,source_predicted_positive_rate_mean,source_predicted_positive_rate_std,threshold_mean,threshold_std,threshold_source_utility_mean,threshold_source_utility_std
uncapped_fd0p5_rc1_rfp0p5_fmp3,3,,0.5,1.0,0.5,3.0,0.647,0.053113086899557994,0.7994946666666666,0.015224201960475062,0.3117628085448408,0.03178503035782809,0.3262967482194517,0.03328442675778275,0.8965792590102483,0.017766778491478816,0.3333333333333333,0.1220054643585005,0.4769293816138318,0.1303792250741731,0.18633333333333332,0.06903863652574066,0.9473684210526315,0.030386856273138165,0.5263157894736842,0.03508771929824561,0.3420107808958576,0.1742740261779114,1.308189655172414,0.09679099815898956
uncapped_fd0p5_rc1_rfp0p5_fmp4,3,,0.5,1.0,0.5,4.0,0.647,0.053113086899557994,0.7994946666666666,0.015224201960475062,0.3117628085448408,0.03178503035782809,0.3262967482194517,0.03328442675778275,0.8965792590102483,0.017766778491478816,0.3333333333333333,0.1220054643585005,0.4769293816138318,0.1303792250741731,0.18633333333333332,0.06903863652574066,0.9473684210526315,0.030386856273138165,0.5263157894736842,0.03508771929824561,0.3420107808958576,0.1742740261779114,1.290332512315271,0.10486120546980057
uncapped_fd0p5_rc1_rfp0p5_fmp6,3,,0.5,1.0,0.5,6.0,0.647,0.053113086899557994,0.7994946666666666,0.015224201960475062,0.3117628085448408,0.03178503035782809,0.3262967482194517,0.03328442675778275,0.8965792590102483,0.017766778491478816,0.3333333333333333,0.1220054643585005,0.4769293816138318,0.1303792250741731,0.18633333333333332,0.06903863652574066,0.9473684210526315,0.030386856273138165,0.5263157894736842,0.03508771929824561,0.3420107808958576,0.1742740261779114,1.254618226600985,0.1271372797201301
uncapped_fd0p5_rc1_rfp0p5_fmp8,3,,0.5,1.0,0.5,8.0,0.647,0.053113086899557994,0.7994946666666666,0.015224201960475062,0.3117628085448408,0.03178503035782809,0.3262967482194517,0.03328442675778275,0.8965792590102483,0.017766778491478816,0.3333333333333333,0.1220054643585005,0.4769293816138318,0.1303792250741731,0.18633333333333332,0.06903863652574066,0.9473684210526315,0.030386856273138165,0.5263157894736842,0.03508771929824561,0.3420107808958576,0.1742740261779114,1.2189039408866995,0.15454101004216564
uncapped_fd0p5_rc1_rfp1_fmp4,3,,0.5,1.0,1.0,4.0,0.647,0.053113086899557994,0.7994946666666666,0.015224201960475062,0.3117628085448408,0.03178503035782809,0.3262967482194517,0.03328442675778275,0.8965792590102483,0.017766778491478816,0.3333333333333333,0.1220054643585005,0.4769293816138318,0.1303792250741731,0.18633333333333332,0.06903863652574066,0.9473684210526315,0.030386856273138165,0.5263157894736842,0.03508771929824561,0.3420107808958576,0.1742740261779114,1.2472290640394088,0.12795775409949434
uncapped_fd0p5_rc1_rfp1_fmp6,3,,0.5,1.0,1.0,6.0,0.647,0.053113086899557994,0.7994946666666666,0.015224201960475062,0.3117628085448408,0.03178503035782809,0.3262967482194517,0.03328442675778275,0.8965792590102483,0.017766778491478816,0.3333333333333333,0.1220054643585005,0.4769293816138318,0.1303792250741731,0.18633333333333332,0.06903863652574066,0.9473684210526315,0.030386856273138165,0.5263157894736842,0.03508771929824561,0.3420107808958576,0.1742740261779114,1.211514778325123,0.1446562780160042
uncapped_fd0p5_rc1_rfp1_fmp8,3,,0.5,1.0,1.0,8.0,0.647,0.053113086899557994,0.7994946666666666,0.015224201960475062,0.3117628085448408,0.03178503035782809,0.3262967482194517,0.03328442675778275,0.8965792590102483,0.017766778491478816,0.3333333333333333,0.1220054643585005,0.4769293816138318,0.1303792250741731,0.18633333333333332,0.06903863652574066,0.9473684210526315,0.030386856273138165,0.5263157894736842,0.03508771929824561,0.3420107808958576,0.1742740261779114,1.1758004926108374,0.16741777418441445
uncapped_fd0p5_rc1_rfp2_fmp6,3,,0.5,1.0,2.0,6.0,0.647,0.053113086899557994,0.7994946666666666,0.015224201960475062,0.3117628085448408,0.03178503035782809,0.3262967482194517,0.03328442675778275,0.8965792590102483,0.017766778491478816,0.3333333333333333,0.1220054643585005,0.4769293816138318,0.1303792250741731,0.18633333333333332,0.06903863652574066,0.9473684210526315,0.030386856273138165,0.5263157894736842,0.03508771929824561,0.3420107808958576,0.1742740261779114,1.1253078817733988,0.19038175109306926
uncapped_fd0p5_rc1_rfp2_fmp8,3,,0.5,1.0,2.0,8.0,0.647,0.053113086899557994,0.7994946666666666,0.015224201960475062,0.3117628085448408,0.03178503035782809,0.3262967482194517,0.03328442675778275,0.8965792590102483,0.017766778491478816,0.3333333333333333,0.1220054643585005,0.4769293816138318,0.1303792250741731,0.18633333333333332,0.06903863652574066,0.9473684210526315,0.030386856273138165,0.5263157894736842,0.03508771929824561,0.3420107808958576,0.1742740261779114,1.0895935960591132,0.20522416134336477
uncapped_fd1_rc1_rfp0p5_fmp2,3,,1.0,1.0,0.5,2.0,0.647,0.053113086899557994,0.7994946666666666,0.015224201960475062,0.3117628085448408,0.03178503035782809,0.3262967482194517,0.03328442675778275,0.8965792590102483,0.017766778491478816,0.3333333333333333,0.1220054643585005,0.4769293816138318,0.1303792250741731,0.18633333333333332,0.06903863652574066,0.9473684210526315,0.030386856273138165,0.5263157894736842,0.03508771929824561,0.3420107808958576,0.1742740261779114,1.817118226600985,0.09377615871795839
