seed,score_mode,encoder,pretrained,classifier,image_size,tile_size,n_images,mean_tiles,accuracy,roc_auc,brier_score,expected_calibration_error,precision,recall,f1,predicted_fake_rate
7,global,convnext_tiny,True,logistic_regression,224,512,114,6.824561403508772,0.631578947368421,0.8054187192118227,0.3025137706889446,0.324641230379984,0.5760869565217391,0.9464285714285714,0.7162162162162162,0.8070175438596491
7,tile_mean,convnext_tiny,True,logistic_regression,224,512,114,6.824561403508772,0.7105263157894737,0.8075738916256158,0.2206068449332799,0.22830449772952127,0.6352941176470588,0.9642857142857143,0.7659574468085106,0.7456140350877193
7,tile_max,convnext_tiny,True,logistic_regression,224,512,114,6.824561403508772,0.6140350877192983,0.8589901477832512,0.3332314874416877,0.36773648411615245,0.56,1.0,0.717948717948718,0.8771929824561403
7,tile_top2_mean,convnext_tiny,True,logistic_regression,224,512,114,6.824561403508772,0.6491228070175439,0.8773091133004927,0.30880785800915095,0.3428704713974371,0.5833333333333334,1.0,0.7368421052631579,0.8421052631578947
17,global,convnext_tiny,True,logistic_regression,224,512,114,6.631578947368421,0.631578947368421,0.7718596059113301,0.3097502958663451,0.31377519227004214,0.5875,0.8392857142857143,0.6911764705882353,0.7017543859649122
17,tile_mean,convnext_tiny,True,logistic_regression,224,512,114,6.631578947368421,0.7192982456140351,0.7650862068965517,0.23781524019227956,0.24317343979048583,0.6621621621621622,0.875,0.7538461538461538,0.6491228070175439
17,tile_max,convnext_tiny,True,logistic_regression,224,512,114,6.631578947368421,0.6228070175438597,0.8292795566502463,0.31838443018658763,0.3395687236967333,0.5714285714285714,0.9285714285714286,0.7074829931972789,0.7982456140350878
17,tile_top2_mean,convnext_tiny,True,logistic_regression,224,512,114,6.631578947368421,0.6578947368421053,0.834051724137931,0.2946771692129907,0.323284820223371,0.5977011494252874,0.9285714285714286,0.7272727272727273,0.7631578947368421
29,global,convnext_tiny,True,logistic_regression,224,512,114,7.175438596491228,0.7105263157894737,0.8471366995073892,0.24580796464228485,0.24665176309651554,0.6455696202531646,0.9107142857142857,0.7555555555555555,0.6929824561403509
29,tile_mean,convnext_tiny,True,logistic_regression,224,512,114,7.175438596491228,0.7631578947368421,0.8870073891625616,0.1713758322162524,0.16891947759641826,0.6835443037974683,0.9642857142857143,0.8,0.6929824561403509
29,tile_max,convnext_tiny,True,logistic_regression,224,512,114,7.175438596491228,0.6491228070175439,0.8922413793103449,0.30314133490904444,0.335552089962444,0.5833333333333334,1.0,0.7368421052631579,0.8421052631578947
29,tile_top2_mean,convnext_tiny,True,logistic_regression,224,512,114,7.175438596491228,0.6842105263157895,0.917179802955665,0.27707556139862066,0.3143304308027917,0.6086956521739131,1.0,0.7567567567567568,0.8070175438596491
