family,method,mean_standardized_coefficient,min_standardized_coefficient,max_standardized_coefficient,mean_raw_score_coefficient
all_foundation_source_calibrated,clip_vit_b_32_frozen,1.37955100106514,1.2249108346001598,1.5492261907392908,2.9779223259816523
all_foundation_source_calibrated,convnext_tiny_frozen,0.8435378013907023,0.7125542232459973,0.9811824737921632,1.8408943015253054
all_foundation_source_calibrated,physics_guided,0.5198530514205363,0.4406650564030935,0.6007152544420484,1.1930774437447784
all_foundation_source_calibrated,dinov2_vits14_frozen,0.4348912294963514,0.267078683760781,0.6905847781734938,1.0042905604755388
all_foundation_source_calibrated,resnet18,0.23282958479433483,-0.408261123324501,0.615939905647179,0.5333341158157485
all_foundation_source_calibrated,combined_v3,0.08221759623542248,-0.1410158224306749,0.4347980210150683,0.25030475950216946
clip_source_calibrated,clip_vit_b_32_frozen,1.4241686808065837,1.2361418526205428,1.5815320609718808,3.075017633457573
clip_source_calibrated,convnext_tiny_frozen,0.9227495336501702,0.7844969808585248,1.135143097827645,2.0142480276068695
clip_source_calibrated,physics_guided,0.5242540874319346,0.3947586216483361,0.6976949603283669,1.2001780821271557
clip_source_calibrated,resnet18,0.21220252775074042,-0.3636577587144476,0.5616375074728449,0.4898779702705915
clip_source_calibrated,combined_v3,0.18354272970480914,-0.1069280916832626,0.6544455975619665,0.5371776291365946
scp_fusion_all_foundation,clip_vit_b_32_frozen,1.4577763459717785,1.1983237055393154,1.8118311260948996,3.147867148526135
scp_fusion_all_foundation,convnext_tiny_frozen,1.045153551216891,0.6896681219987599,1.2259857425470515,2.273189835602256
scp_fusion_all_foundation,physics_guided,0.5063687868101195,0.4801041227549579,0.5587644910462424,1.1507964491749096
scp_fusion_all_foundation,resnet18,0.3115258943457477,-0.2154359028974187,0.9093944781781618,0.7096443816375566
scp_fusion_all_foundation,combined_v3,0.2222795579668736,0.0774112605160893,0.4179484547183958,0.5988087280402877
scp_fusion_all_foundation,dinov2_vits14_frozen,0.2080660768451532,0.0035301958122169,0.4318380636949746,0.47512092051945426
scp_fusion_clip,clip_vit_b_32_frozen,1.5069087984399452,1.330486842654894,1.8126067809340245,3.253670058567772
scp_fusion_clip,convnext_tiny_frozen,1.0702903473688765,0.6895307840511423,1.2649398173014994,2.3280780176374725
scp_fusion_clip,physics_guided,0.5144036290651482,0.4817753913743916,0.5590279698197601,1.1698510275015364
scp_fusion_clip,resnet18,0.3056282158303699,-0.2148717376447433,0.8224938832122319,0.6984187654274606
scp_fusion_clip,combined_v3,0.23892520650373672,0.0763176898758126,0.4676317651947713,0.6435562549992119
