config,variant,n_seeds,accuracy,accuracy_std,auc,auc_std,brier,brier_std,ece,ece_std,precision,recall,f1,predicted_fake_rate,threshold,threshold_std,threshold_selection_utility,n_fusion_train,n_calibration
score_fusion_all6_c003_source_acc,ishu_test,3,0.6959064327485379,0.06699672068648888,0.8291256157635468,0.048443218323001296,0.2188109387984678,0.025751691012006684,0.20599085203975545,0.020134761397009326,0.6378012933568489,0.9107142857142857,0.7481282861887658,0.7076023391812866,0.5880294247561867,0.1020810785771141,0.9916666666666667,160.0,40.0
score_fusion_all6_c003_source_acc,train,3,0.955,0.010000000000000009,0.9929666666666667,0.0035076107727815176,0.0477481625337754,0.005705968838158761,0.12577516851599638,0.0017720912057118253,0.9728263978544677,0.9366666666666666,0.9539657423762558,0.4816666666666667,0.5880294247561867,0.1020810785771141,0.9916666666666667,160.0,40.0
score_fusion_all6_c01_temp_source_acc,ishu_test,3,0.6754385964912281,0.05335756605524748,0.7974651067323482,0.1089245002005306,0.30660642225263673,0.03296488447078322,0.32671768446132865,0.014194727677297923,0.610033894343151,0.9583333333333334,0.7446579030669042,0.7748538011695906,0.6102679493727768,0.24613445593838623,0.9916666666666667,160.0,40.0
score_fusion_all6_c01_temp_source_acc,train,3,0.9683333333333333,0.0028867513459480834,0.9947666666666667,0.0034674678561355202,0.02933972570802747,0.002087272053167322,0.027244910237334347,0.0025740355450545914,0.9734193326453388,0.9633333333333333,0.968133197935178,0.49499999999999994,0.6102679493727768,0.24613445593838623,0.9916666666666667,160.0,40.0
score_fusion_all6_dropout_source_acc,ishu_test,3,0.672514619883041,0.041454523037303584,0.834051724137931,0.04551238298554764,0.3082836166296244,0.01476983846288901,0.3298713481628092,0.00676086913456217,0.6056362991846863,0.9642857142857143,0.7436515545815642,0.7836257309941521,0.6119621315347842,0.2054208889377611,0.9916666666666667,160.0,40.0
score_fusion_all6_dropout_source_acc,train,3,0.9683333333333333,0.0028867513459480834,0.9958,0.0035000000000000725,0.02397272628612038,0.005401019435722354,0.02377000012645199,0.0026917088096506787,0.9734193326453388,0.9633333333333333,0.968133197935178,0.49499999999999994,0.6119621315347842,0.2054208889377611,0.9916666666666667,160.0,40.0
score_fusion_all6_source_acc,ishu_test,3,0.6608187134502924,0.030806005125300445,0.821531198686371,0.046038706810379665,0.29838502793439803,0.007046108819785288,0.3216544522468943,0.009724983366646005,0.5945053586877836,0.9821428571428571,0.7402575053581765,0.8128654970760234,0.6012274131688468,0.17533102272720932,0.9916666666666667,160.0,40.0
score_fusion_all6_source_acc,train,3,0.975,0.0,0.9961666666666668,0.0033501243758006114,0.01942175462998275,0.0026304887312116904,0.03245506363476327,0.006289182855467273,0.983095560415148,0.9666666666666667,0.9747893443528982,0.4916666666666667,0.6012274131688468,0.17533102272720932,0.9916666666666667,160.0,40.0
