fusion,seed,branch,standardized_coefficient,raw_score_coefficient
score_fusion_all6,7,combined_v3,0.2591787495251366,0.8596225836601049
score_fusion_all6,7,resnet18,0.30117619711619864,0.6910740884696783
score_fusion_all6,7,physics_guided,0.47808504298380156,1.1373940392011854
score_fusion_all6,7,convnext_tiny,0.426309764799816,0.9226470819072892
score_fusion_all6,7,clip_vit_b_32,2.653786086996498,5.572146296906947
score_fusion_all6,7,dinov2_vits14,0.34550667346777264,0.7666784726554038
score_fusion_all6,7,__intercept__,-0.026799347459732784,-5.044760664911305
score_fusion_all6,17,combined_v3,0.2666092354106237,0.9036230463446978
score_fusion_all6,17,resnet18,0.8637558939361776,2.0513219219314753
score_fusion_all6,17,physics_guided,0.07917179640695791,0.18689849077074353
score_fusion_all6,17,convnext_tiny,1.0335065919597899,2.258496614938627
score_fusion_all6,17,clip_vit_b_32,2.515363825268107,5.299187864287531
score_fusion_all6,17,dinov2_vits14,0.5522815387517548,1.2240174630735832
score_fusion_all6,17,__intercept__,-0.28456289276966995,-6.223531553451872
score_fusion_all6,29,combined_v3,0.7341582482482022,2.5800232652391317
score_fusion_all6,29,resnet18,0.2657547173002332,0.6113832746382163
score_fusion_all6,29,physics_guided,0.23986062147178286,0.5573888450453968
score_fusion_all6,29,convnext_tiny,0.7302631094786107,1.6159953323136718
score_fusion_all6,29,clip_vit_b_32,2.938116714327964,6.140096087893971
score_fusion_all6,29,dinov2_vits14,-0.016497069946376043,-0.03659310723201328
score_fusion_all6,29,__intercept__,-0.1577712397419039,-5.926429612083384
score_fusion_all6_temp_balanced,7,combined_v3,0.12480167259086629,0.425020549620425
score_fusion_all6_temp_balanced,7,resnet18,0.42947122557322986,0.9618893970811214
score_fusion_all6_temp_balanced,7,physics_guided,-0.027009903082252994,-0.06365393320451632
score_fusion_all6_temp_balanced,7,convnext_tiny,0.44910647752742466,0.975199468121057
score_fusion_all6_temp_balanced,7,clip_vit_b_32,2.1807782071029305,4.548511511323246
score_fusion_all6_temp_balanced,7,dinov2_vits14,0.5390389912115758,1.21270691280787
score_fusion_all6_temp_balanced,7,__intercept__,0.17455927066521426,-3.7546687876928253
score_fusion_all6_temp_balanced,17,combined_v3,0.4903991532385436,1.6028930256082925
score_fusion_all6_temp_balanced,17,resnet18,0.6705814757894886,1.5967357128791537
score_fusion_all6_temp_balanced,17,physics_guided,0.2573465374983353,0.6055804011711521
score_fusion_all6_temp_balanced,17,convnext_tiny,0.910484042475912,1.9511156985523213
score_fusion_all6_temp_balanced,17,clip_vit_b_32,2.1190342761076626,4.41475760136099
score_fusion_all6_temp_balanced,17,dinov2_vits14,0.2093814199863947,0.4527996424248264
score_fusion_all6_temp_balanced,17,__intercept__,-0.1307415225275441,-5.39910102245406
score_fusion_all6_temp_balanced,29,combined_v3,0.4400311414844665,1.5031925251701406
score_fusion_all6_temp_balanced,29,resnet18,0.3478070614011042,0.7898144773599906
score_fusion_all6_temp_balanced,29,physics_guided,0.1272070724320298,0.29217108749731047
score_fusion_all6_temp_balanced,29,convnext_tiny,0.8781805024768017,1.9439411151405979
score_fusion_all6_temp_balanced,29,clip_vit_b_32,2.5772592354384414,5.3879110972013535
score_fusion_all6_temp_balanced,29,dinov2_vits14,0.3752318623992215,0.8277728518607905
score_fusion_all6_temp_balanced,29,__intercept__,-0.39824433301500434,-5.841906641339226
