source_label,source_name,n,mean_accuracy,mean_fake_score,mean_fake_score_p10,mean_fake_score_p50,mean_fake_score_p90,mean_false_positive_rate,mean_detection_rate,mean_miss_rate
0,real,500,0.9733333333333333,0.033345274333633636,5.402598825791455e-07,9.502230750509956e-05,0.026263207259277433,0.02666666666666667,,
1,sd21,100,0.23666666666666666,0.26127809020851067,0.00017160839270210452,0.06587542283038288,0.8939434746901195,,0.23666666666666666,0.7633333333333333
2,sdxl,100,0.5666666666666668,0.5537846467848779,0.012505136880402666,0.6153923074404398,0.9896235744158428,,0.5666666666666668,0.43333333333333335
3,sd3,100,0.27999999999999997,0.30694994005788884,0.0008874182841584333,0.10010176524519913,0.9406672060489658,,0.27999999999999997,0.7200000000000001
4,dalle3,100,0.22999999999999998,0.24277467118365828,0.0002134515442472932,0.0549778528511523,0.8613954265912375,,0.22999999999999998,0.77
5,midjourney6,100,0.18333333333333335,0.20628406499292504,0.0002468633253253099,0.04515544216458991,0.759094528357188,,0.18333333333333335,0.8166666666666668
