"encoder","seed","split","default_threshold","default_accuracy","clean_threshold","clean_threshold_accuracy","oracle_threshold","oracle_accuracy","auc"
"clip_vit_b_32","7","ms_cocoai_to_ishu_test","0.5","0.614035087719298","0.5","0.614035087719298","0.996860563755035","0.824561403508772","0.857142857142857"
"convnext_tiny","7","ms_cocoai_to_ishu_test","0.5","0.631578947368421","0.314392149448395","0.649122807017544","0.933733075857162","0.754385964912281","0.805418719211823"
"dinov2_vits14","7","ms_cocoai_to_ishu_test","0.5","0.675438596491228","0.538882404565811","0.666666666666667","0.980429798364639","0.719298245614035","0.69996921182266"
"clip_vit_b_32","17","ms_cocoai_to_ishu_test","0.5","0.614035087719298","0.754252552986145","0.666666666666667","0.998429149389267","0.754385964912281","0.805572660098522"
"convnext_tiny","17","ms_cocoai_to_ishu_test","0.5","0.631578947368421","0.746497243642807","0.666666666666667","0.970498502254486","0.728070175438597","0.77185960591133"
"dinov2_vits14","17","ms_cocoai_to_ishu_test","0.5","0.587719298245614","0.5","0.587719298245614","0.998302459716797","0.657894736842105","0.662869458128079"
"clip_vit_b_32","29","ms_cocoai_to_ishu_test","0.5","0.640350877192982","0.616693913936615","0.657894736842105","0.949764579534531","0.745614035087719","0.810036945812808"
"convnext_tiny","29","ms_cocoai_to_ishu_test","0.5","0.710526315789474","0.523702144622803","0.719298245614035","0.992149204015732","0.798245614035088","0.847136699507389"
"dinov2_vits14","29","ms_cocoai_to_ishu_test","0.5","0.587719298245614","0.37789648771286","0.596491228070175","0.999678164720535","0.614035087719298","0.637931034482759"
