config,cap,seed,variant,accuracy,auc,brier,ece,precision,recall,f1,predicted_fake_rate,threshold,threshold_source_predicted_positive_rate,threshold_max_positive_rate
tie_higher,,7,train,0.945,0.9896,0.05140917774025083,0.1251225844975514,0.989010989010989,0.9,0.9424083769633508,0.455,0.7027746617327966,,
tie_higher,,7,ishu_test,0.7456140350877193,0.8254310344827586,0.2228802366259784,0.2161680368328001,0.6956521739130435,0.8571428571428571,0.768,0.6052631578947368,0.7027746617327966,,
tie_higher,,17,train,0.965,0.9965999999999999,0.04117362646039698,0.12442190468645857,0.9696969696969697,0.96,0.964824120603015,0.495,0.591473875401568,,
tie_higher,,17,ishu_test,0.6578947368421053,0.7826354679802956,0.2422857038601673,0.21900549965105112,0.6024096385542169,0.8928571428571429,0.7194244604316546,0.7280701754385965,0.591473875401568,,
tie_higher,,29,train,0.955,0.9927,0.0506616834006784,0.12778101636397918,0.9690721649484536,0.94,0.9543147208121827,0.485,0.5897296362659037,,
tie_higher,,29,ishu_test,0.7543859649122807,0.8793103448275863,0.19126687590925767,0.18279901963541512,0.6891891891891891,0.9107142857142857,0.7846153846153846,0.6491228070175439,0.5897296362659037,,
cap_0p50,0.5,7,train,0.945,0.9896,0.05140917774025083,0.1251225844975514,0.989010989010989,0.9,0.9424083769633508,0.455,0.7027746617327966,0.5,0.5
cap_0p50,0.5,7,ishu_test,0.7456140350877193,0.8254310344827586,0.2228802366259784,0.2161680368328001,0.6956521739130435,0.8571428571428571,0.768,0.6052631578947368,0.7027746617327966,0.5,0.5
cap_0p50,0.5,17,train,0.965,0.9965999999999999,0.04117362646039698,0.12442190468645857,0.9696969696969697,0.96,0.964824120603015,0.495,0.591473875401568,0.5,0.5
cap_0p50,0.5,17,ishu_test,0.6578947368421053,0.7826354679802956,0.2422857038601673,0.21900549965105112,0.6024096385542169,0.8928571428571429,0.7194244604316546,0.7280701754385965,0.591473875401568,0.5,0.5
cap_0p50,0.5,29,train,0.955,0.9927,0.0506616834006784,0.12778101636397918,0.9690721649484536,0.94,0.9543147208121827,0.485,0.5897296362659037,0.475,0.5
cap_0p50,0.5,29,ishu_test,0.7543859649122807,0.8793103448275863,0.19126687590925767,0.18279901963541512,0.6891891891891891,0.9107142857142857,0.7846153846153846,0.6491228070175439,0.5897296362659037,0.475,0.5
cap_0p48,0.48,7,train,0.94,0.9896,0.05140917774025083,0.1251225844975514,0.9888888888888889,0.89,0.9368421052631579,0.45,0.7044421076140431,0.475,0.48
cap_0p48,0.48,7,ishu_test,0.7456140350877193,0.8254310344827586,0.2228802366259784,0.2161680368328001,0.6956521739130435,0.8571428571428571,0.768,0.6052631578947368,0.7044421076140431,0.475,0.48
cap_0p48,0.48,17,train,0.95,0.9965999999999999,0.04117362646039698,0.12442190468645857,1.0,0.9,0.9473684210526315,0.45,0.7029289297383793,0.475,0.48
cap_0p48,0.48,17,ishu_test,0.6666666666666666,0.7826354679802956,0.2422857038601673,0.21900549965105112,0.6285714285714286,0.7857142857142857,0.6984126984126984,0.6140350877192983,0.7029289297383793,0.475,0.48
cap_0p48,0.48,29,train,0.955,0.9927,0.0506616834006784,0.12778101636397918,0.9690721649484536,0.94,0.9543147208121827,0.485,0.5897296362659037,0.475,0.48
cap_0p48,0.48,29,ishu_test,0.7543859649122807,0.8793103448275863,0.19126687590925767,0.18279901963541512,0.6891891891891891,0.9107142857142857,0.7846153846153846,0.6491228070175439,0.5897296362659037,0.475,0.48
cap_0p45,0.45,7,train,0.92,0.9896,0.05140917774025083,0.1251225844975514,0.9883720930232558,0.85,0.9139784946236559,0.43,0.7224878755875712,0.45,0.45
cap_0p45,0.45,7,ishu_test,0.7456140350877193,0.8254310344827586,0.2228802366259784,0.2161680368328001,0.7014925373134329,0.8392857142857143,0.7642276422764228,0.5877192982456141,0.7224878755875712,0.45,0.45
cap_0p45,0.45,17,train,0.945,0.9965999999999999,0.04117362646039698,0.12442190468645857,1.0,0.89,0.9417989417989417,0.445,0.7093367000719771,0.45,0.45
cap_0p45,0.45,17,ishu_test,0.6666666666666666,0.7826354679802956,0.2422857038601673,0.21900549965105112,0.6285714285714286,0.7857142857142857,0.6984126984126984,0.6140350877192983,0.7093367000719771,0.45,0.45
cap_0p45,0.45,29,train,0.95,0.9927,0.0506616834006784,0.12778101636397918,0.96875,0.93,0.9489795918367347,0.48,0.6223054621348034,0.45,0.45
cap_0p45,0.45,29,ishu_test,0.7456140350877193,0.8793103448275863,0.19126687590925767,0.18279901963541512,0.684931506849315,0.8928571428571429,0.7751937984496124,0.6403508771929824,0.6223054621348034,0.45,0.45
