variant,score_mode,constraint_policy,n_seeds,target_accuracy_mean,target_accuracy_std,target_roc_auc_mean,target_roc_auc_std,target_brier_score_mean,target_brier_score_std,target_expected_calibration_error_mean,target_expected_calibration_error_std,target_precision_mean,target_precision_std,target_recall_mean,target_recall_std,target_f1_mean,target_f1_std,target_predicted_positive_rate_mean,target_predicted_positive_rate_std,source_predicted_positive_rate_mean,source_predicted_positive_rate_std,threshold_source_predicted_positive_rate_mean,threshold_source_predicted_positive_rate_std,selected_configs,target_accuracy_mean_delta_vs_global,target_accuracy_mean_improved_vs_global,target_roc_auc_mean_delta_vs_global,target_roc_auc_mean_improved_vs_global,target_brier_score_mean_delta_vs_global,target_brier_score_mean_improved_vs_global,target_expected_calibration_error_mean_delta_vs_global,target_expected_calibration_error_mean_improved_vs_global,target_predicted_positive_rate_mean_delta_vs_global,target_predicted_positive_rate_mean_improved_vs_global
blur1,global,cap_0p4,3,0.7105263157894738,0.0401980324118933,0.7871510673234811,0.0454314306350436,0.3280141572604493,0.026123200524412,0.3449690603592958,0.0219004099241278,0.682051282051282,0.0455804841913619,0.7738095238095237,0.020619652471058,0.7247156803660221,0.0323375735889294,0.5584795321637427,0.0281978092426694,0.4000000000000001,6.798699777552591e-17,0.4000000000000001,6.798699777552591e-17,seed7:C0.3:mean0p35x8:cap0.4; seed17:C0.03:mean0p35x8:cap0.4; seed29:C0.3:none:cap0.4,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
blur1,tile_mean,cap_0p4,3,0.7163742690058479,0.0441510785688348,0.7913587848932676,0.0422430548241811,0.32313333815375,0.0227740568228691,0.340880828791863,0.0199904476837043,0.6869272803699035,0.0465882255028012,0.7797619047619048,0.027277236279499,0.7302394575121848,0.0375958398536047,0.5584795321637427,0.0202579041820921,0.4000000000000001,6.798699777552591e-17,0.4000000000000001,6.798699777552591e-17,seed7:C0.3:mean0p35x8:cap0.4; seed17:C0.03:mean0p35x8:cap0.4; seed29:C0.3:none:cap0.4,0.005847953216374102,True,0.004207717569786551,True,-0.004880819106699297,True,-0.004088231567432821,True,0.0,False
blur1,tile_max,cap_0p4,3,0.7251461988304094,0.0332099903263174,0.8031609195402298,0.0320024307644586,0.3361919952244214,0.0271558124448143,0.3643816283108949,0.0279188455269351,0.6871714806141035,0.0440215510854904,0.8154761904761904,0.0103098262355289,0.745129833129833,0.0210753754188552,0.584795321637427,0.0432709023010197,0.4000000000000001,6.798699777552591e-17,0.4000000000000001,6.798699777552591e-17,seed7:C0.3:mean0p35x8:cap0.4; seed17:C0.03:mean0p35x8:cap0.4; seed29:C0.3:none:cap0.4,0.014619883040935644,True,0.016009852216748777,True,0.00817783796397209,False,0.01941256795159907,False,0.026315789473684292,False
blur1,tile_top2_mean,cap_0p4,3,0.7222222222222222,0.0365204561309847,0.8018267651888341,0.0319223565979838,0.3332531003121071,0.025505784357943,0.3621724932887569,0.0209378348958548,0.6855151659143107,0.045774858236117,0.8095238095238096,0.0103098262355289,0.7417435897435897,0.0251129205215227,0.5818713450292398,0.0405158083641842,0.4000000000000001,6.798699777552591e-17,0.4000000000000001,6.798699777552591e-17,seed7:C0.3:mean0p35x8:cap0.4; seed17:C0.03:mean0p35x8:cap0.4; seed29:C0.3:none:cap0.4,0.011695906432748426,True,0.014675697865353055,True,0.005238943051657785,False,0.017203432929461082,False,0.023391812865497075,False
jpeg30,global,cap_0p4,3,0.7076023391812866,0.0220755392844174,0.8167077175697864,0.0435860271592929,0.2331669281716122,0.0236903522518862,0.2215336598029355,0.025785434483657,0.7993022191718143,0.0900397541710201,0.5535714285714285,0.0643848442047141,0.6494299371349924,0.0277564459073989,0.3450292397660818,0.0703579497983389,0.4000000000000001,6.798699777552591e-17,0.4000000000000001,6.798699777552591e-17,seed7:C0.3:mean0p35x8:cap0.4; seed17:C0.03:mean0p35x8:cap0.4; seed29:C0.3:none:cap0.4,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
jpeg30,tile_mean,cap_0p4,3,0.7076023391812866,0.0182602280654924,0.8212233169129721,0.0360239217570676,0.2247029622597104,0.0173109963555592,0.2155045657784118,0.0189288345127498,0.8031077891424075,0.086758331616667,0.5476190476190476,0.0449394906861354,0.6476178062171664,0.0109571016439529,0.3391812865497076,0.0597092919785442,0.4000000000000001,6.798699777552591e-17,0.4000000000000001,6.798699777552591e-17,seed7:C0.3:mean0p35x8:cap0.4; seed17:C0.03:mean0p35x8:cap0.4; seed29:C0.3:none:cap0.4,0.0,False,0.004515599343185683,True,-0.008463965911901794,True,-0.006029094024523701,True,-0.005847953216374213,True
jpeg30,tile_max,cap_0p4,3,0.7222222222222222,0.0182602280654924,0.8292282430213463,0.0257414449854213,0.2299191662605609,0.0167232333111382,0.2311986282836701,0.0217007426523708,0.803784013605442,0.0887748076932873,0.5892857142857143,0.0714285714285714,0.6746176046176046,0.0261096866117249,0.3654970760233918,0.0766394293688956,0.4000000000000001,6.798699777552591e-17,0.4000000000000001,6.798699777552591e-17,seed7:C0.3:mean0p35x8:cap0.4; seed17:C0.03:mean0p35x8:cap0.4; seed29:C0.3:none:cap0.4,0.014619883040935644,True,0.012520525451559905,True,-0.0032477619110513056,True,0.009664968480734615,False,0.020467836257310024,False
jpeg30,tile_top2_mean,cap_0p4,3,0.7163742690058479,0.0133993441372978,0.8291256157635467,0.025386714562436,0.2285779249240161,0.0159536457721842,0.2295424318279705,0.0222833591712838,0.8010752688172044,0.0884649606016362,0.5773809523809524,0.0721687836487032,0.6653286177424108,0.0247488071640103,0.3596491228070175,0.0779666176957507,0.4000000000000001,6.798699777552591e-17,0.4000000000000001,6.798699777552591e-17,seed7:C0.3:mean0p35x8:cap0.4; seed17:C0.03:mean0p35x8:cap0.4; seed29:C0.3:none:cap0.4,0.00877192982456132,True,0.012417898193760268,True,-0.004589003247596091,True,0.008008772025035,False,0.0146198830409357,False
resize_half,global,cap_0p4,3,0.716374269005848,0.0332099903263173,0.7816091954022989,0.0508091996319899,0.3248704540669914,0.0317436563136706,0.3410046495138263,0.0243874286019016,0.6888888888888888,0.038490017945975,0.7738095238095237,0.020619652471058,0.7286048393353951,0.0271150863515623,0.5526315789473685,0.0263157894736842,0.4000000000000001,6.798699777552591e-17,0.4000000000000001,6.798699777552591e-17,seed7:C0.3:mean0p35x8:cap0.4; seed17:C0.03:mean0p35x8:cap0.4; seed29:C0.3:none:cap0.4,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
resize_half,tile_mean,cap_0p4,3,0.7163742690058479,0.0267986882745955,0.78438013136289,0.0528995483016665,0.3206359858038004,0.0295010547654435,0.3421313143294481,0.0291869447021256,0.6908011009705924,0.0333167935173389,0.7678571428571428,0.0178571428571428,0.7269937223901418,0.0209732588927159,0.5467836257309941,0.0267986882745955,0.4000000000000001,6.798699777552591e-17,0.4000000000000001,6.798699777552591e-17,seed7:C0.3:mean0p35x8:cap0.4; seed17:C0.03:mean0p35x8:cap0.4; seed29:C0.3:none:cap0.4,-1.1102230246251565e-16,False,0.002770935960591081,True,-0.00423446826319096,True,0.0011266648156217918,False,-0.005847953216374324,True
resize_half,tile_max,cap_0p4,3,0.7309941520467836,0.0281978092426694,0.7955665024630542,0.0386989141165033,0.3324892488233094,0.0334557411319013,0.3536360993041335,0.0308648994085013,0.693614057644916,0.0384971712835891,0.8154761904761904,0.0103098262355289,0.7490554177005789,0.017722615473476,0.5789473684210527,0.0382359556450936,0.4000000000000001,6.798699777552591e-17,0.4000000000000001,6.798699777552591e-17,seed7:C0.3:mean0p35x8:cap0.4; seed17:C0.03:mean0p35x8:cap0.4; seed29:C0.3:none:cap0.4,0.014619883040935644,True,0.013957307060755264,True,0.0076187947563179925,False,0.01263144979030717,False,0.02631578947368418,False
