seed,score_mode,encoder,pretrained,classifier,image_size,tile_size,n_images,mean_tiles,accuracy,roc_auc,brier_score,expected_calibration_error,precision,recall,f1,predicted_fake_rate
7,global,dinov2_vits14,True,logistic_regression,224,512,114,6.824561403508772,0.6403508771929824,0.677493842364532,0.3268007383259636,0.34054506993894396,0.5949367088607594,0.8392857142857143,0.6962962962962963,0.6929824561403509
7,tile_mean,dinov2_vits14,True,logistic_regression,224,512,114,6.824561403508772,0.6754385964912281,0.7024322660098522,0.27606467530642764,0.24156780594021932,0.620253164556962,0.875,0.725925925925926,0.6929824561403509
7,tile_max,dinov2_vits14,True,logistic_regression,224,512,114,6.824561403508772,0.6052631578947368,0.7486145320197044,0.3482404372195771,0.36292540422886577,0.5578947368421052,0.9464285714285714,0.7019867549668874,0.8333333333333334
7,tile_top2_mean,dinov2_vits14,True,logistic_regression,224,512,114,6.824561403508772,0.6491228070175439,0.7590825123152709,0.325574765916898,0.3432006071477121,0.5888888888888889,0.9464285714285714,0.726027397260274,0.7894736842105263
17,global,dinov2_vits14,True,logistic_regression,224,512,114,6.631578947368421,0.5789473684210527,0.6567118226600985,0.3686552727932989,0.3673934557901849,0.5476190476190477,0.8214285714285714,0.6571428571428571,0.7368421052631579
17,tile_mean,dinov2_vits14,True,logistic_regression,224,512,114,6.631578947368421,0.6052631578947368,0.654710591133005,0.32353259137912405,0.2954308206752863,0.5647058823529412,0.8571428571428571,0.6808510638297872,0.7456140350877193
17,tile_max,dinov2_vits14,True,logistic_regression,224,512,114,6.631578947368421,0.5877192982456141,0.7218288177339902,0.3645167514047063,0.38287390144266603,0.5463917525773195,0.9464285714285714,0.6928104575163399,0.8508771929824561
17,tile_top2_mean,dinov2_vits14,True,logistic_regression,224,512,114,6.631578947368421,0.6052631578947368,0.7322967980295567,0.35363756151577336,0.36350656472916926,0.5578947368421052,0.9464285714285714,0.7019867549668874,0.8333333333333334
29,global,dinov2_vits14,True,logistic_regression,224,512,114,7.175438596491228,0.6052631578947368,0.636545566502463,0.36609048849642095,0.36195720576702234,0.5753424657534246,0.75,0.6511627906976745,0.6403508771929824
29,tile_mean,dinov2_vits14,True,logistic_regression,224,512,114,7.175438596491228,0.631578947368421,0.6520935960591133,0.3076951393305686,0.2711880854073794,0.5921052631578947,0.8035714285714286,0.6818181818181818,0.6666666666666666
29,tile_max,dinov2_vits14,True,logistic_regression,224,512,114,7.175438596491228,0.5789473684210527,0.7244458128078818,0.3976300639278152,0.4072529292169759,0.5416666666666666,0.9285714285714286,0.6842105263157895,0.8421052631578947
29,tile_top2_mean,dinov2_vits14,True,logistic_regression,224,512,114,7.175438596491228,0.5789473684210527,0.7322967980295567,0.3830592600662948,0.3880327124157411,0.5416666666666666,0.9285714285714286,0.6842105263157895,0.8421052631578947
