"encoder","split","n_seeds","accuracy","auc","brier","ece","precision","recall","f1","predicted_fake_rate"
"convnext_tiny","ms_cocoai_validation","3","0.885","0.943333333333333","0.0923796536819852","0.0717636175901201","0.886228956228956","0.883333333333333","0.884773869346734","0.498333333333333"
"convnext_tiny","ms_cocoai_to_ishu_test","3","0.657894736842105","0.808138341543514","0.286024760833575","0.295023072281814","0.603052192258301","0.898809523809524","0.720982747453336","0.733918128654971"
"clip_vit_b_32","ms_cocoai_validation","3","0.965","0.995633333333333","0.0243914353903927","0.0236708005870316","0.948734296185348","0.983333333333333","0.965659773208657","0.518333333333333"
"clip_vit_b_32","ms_cocoai_to_ishu_test","3","0.62280701754386","0.824250821018062","0.331657055035682","0.356570460632393","0.566315789473684","0.994047619047619","0.721458085696496","0.862573099415205"
"dinov2_vits14","ms_cocoai_validation","3","0.821666666666667","0.895983333333333","0.1467324775169","0.133087027342217","0.824492100276706","0.82","0.821694927190403","0.498333333333333"
"dinov2_vits14","ms_cocoai_to_ishu_test","3","0.616959064327485","0.666923234811166","0.347151913729578","0.349867062850066","0.579197830282168","0.809523809523809","0.674965462973706","0.687134502923977"
