venue,path,sections,target_pages,source_word_count,draft_word_count,asset_callouts
WIFS,reports/wifs_manuscript_draft_2026_06_14.md,7,5.75,995,1293,19
DFF,reports/dff_manuscript_draft_2026_06_14.md,6,6.6,1200,1462,16
