seed,score_mode,encoder,pretrained,classifier,image_size,tile_size,n_images,mean_tiles,accuracy,roc_auc,brier_score,expected_calibration_error,precision,recall,f1,predicted_fake_rate
7,global,dinov2_vits14,True,logistic_regression,224,512,114,6.824561403508772,0.6754385964912281,0.69996921182266,0.30609401819492194,0.31775180197033287,0.6233766233766234,0.8571428571428571,0.7218045112781954,0.6754385964912281
7,tile_mean,dinov2_vits14,True,logistic_regression,224,512,114,6.824561403508772,0.7017543859649122,0.7250615763546799,0.25607090953220024,0.2093909492305676,0.6486486486486487,0.8571428571428571,0.7384615384615385,0.6491228070175439
7,tile_max,dinov2_vits14,True,logistic_regression,224,512,114,6.824561403508772,0.6491228070175439,0.7646243842364532,0.3228257535903261,0.33945444557128357,0.5888888888888889,0.9464285714285714,0.726027397260274,0.7894736842105263
7,tile_top2_mean,dinov2_vits14,True,logistic_regression,224,512,114,6.824561403508772,0.6754385964912281,0.7749384236453203,0.304254226140268,0.31336151475416757,0.6091954022988506,0.9464285714285714,0.7412587412587412,0.7631578947368421
17,global,dinov2_vits14,True,logistic_regression,224,512,114,6.631578947368421,0.5877192982456141,0.6628694581280788,0.3691111576037354,0.365036017683271,0.5542168674698795,0.8214285714285714,0.6618705035971223,0.7280701754385965
17,tile_mean,dinov2_vits14,True,logistic_regression,224,512,114,6.631578947368421,0.6140350877192983,0.6657943349753694,0.3189604045260123,0.3095575143389854,0.5714285714285714,0.8571428571428571,0.6857142857142857,0.7368421052631579
17,tile_max,dinov2_vits14,True,logistic_regression,224,512,114,6.631578947368421,0.6052631578947368,0.7264470443349753,0.3692553483509911,0.3825603620260256,0.5578947368421052,0.9464285714285714,0.7019867549668874,0.8333333333333334
17,tile_top2_mean,dinov2_vits14,True,logistic_regression,224,512,114,6.631578947368421,0.6052631578947368,0.7452278325123153,0.35853354267360427,0.36663310126145154,0.5578947368421052,0.9464285714285714,0.7019867549668874,0.8333333333333334
29,global,dinov2_vits14,True,logistic_regression,224,512,114,7.175438596491228,0.5877192982456141,0.6379310344827586,0.3662504899597023,0.3668133172896926,0.56,0.75,0.6412213740458015,0.6578947368421053
29,tile_mean,dinov2_vits14,True,logistic_regression,224,512,114,7.175438596491228,0.6491228070175439,0.6545566502463054,0.30674739333086204,0.2674584571994907,0.6052631578947368,0.8214285714285714,0.696969696969697,0.6666666666666666
29,tile_max,dinov2_vits14,True,logistic_regression,224,512,114,7.175438596491228,0.5614035087719298,0.7429187192118225,0.4012966658145443,0.4181331551929973,0.5306122448979592,0.9285714285714286,0.6753246753246753,0.8596491228070176
29,tile_top2_mean,dinov2_vits14,True,logistic_regression,224,512,114,7.175438596491228,0.5701754385964912,0.7472290640394087,0.3863834134583592,0.3942601794072582,0.5360824742268041,0.9285714285714286,0.6797385620915033,0.8508771929824561
