candidate,score_source,n_seeds,seeds,n_target_mean,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_max,brier_score_mean,brier_score_std,brier_score_min,brier_score_max,expected_calibration_error_mean,expected_calibration_error_std,expected_calibration_error_min,expected_calibration_error_max,precision_mean,precision_std,precision_min,precision_max,recall_mean,recall_std,recall_min,recall_max,f1_mean,f1_std,f1_min,f1_max,maximum_calibration_error_mean,maximum_calibration_error_std,maximum_calibration_error_min,maximum_calibration_error_max,fake_call_rate_mean,fake_call_rate_std,fake_call_rate_min,fake_call_rate_max,real_false_positive_rate_mean,real_false_positive_rate_std,real_false_positive_rate_min,real_false_positive_rate_max,fake_miss_rate_mean,fake_miss_rate_std,fake_miss_rate_min,fake_miss_rate_max
combined_v3_logreg,target combined_v3 predictions,3,"7,17,29",1000.0,0.547,0.03482814953453598,0.508,0.575,0.5833646666666666,0.039151054153538846,0.538174,0.607036,0.3338714982785338,0.022247041630181066,0.31700140228833573,0.3590839345464284,0.27512078465202555,0.03228527491441814,0.2475316479215656,0.3106286813468909,0.6009535672683678,0.07131746595311994,0.5192307692307693,0.6506024096385542,0.272,0.05411099703387474,0.216,0.324,0.3740208763314024,0.06437675048224535,0.3050847457627119,0.4325767690253672,0.4037187812914307,0.042458094519530844,0.37481188256577036,0.45246484202723347,0.225,0.021377558326431952,0.208,0.249,0.17800000000000002,0.020297783130184443,0.16,0.2,0.7280000000000001,0.05411099703387472,0.676,0.784
reconstruction_lite_logreg,target reconstruction_lite predictions,3,"7,17,29",1000.0,0.5949999999999999,0.016462077633154343,0.585,0.614,0.6361519999999999,0.027608621262207204,0.6119199999999999,0.6662079999999999,0.23773374344567433,0.007069130637647678,0.2296782780533044,0.24290371777845673,0.04304971908557779,0.018274014649540617,0.024541807916664313,0.0610804924039476,0.6026612405007926,0.011706724848697716,0.5906183368869936,0.614,0.5566666666666666,0.056047598818623194,0.502,0.614,0.5779194535701356,0.03341617172774919,0.5480349344978166,0.614,0.47315161655229127,0.18102248228607606,0.26845230747903776,0.6121452848116558,0.46166666666666667,0.04247744499535411,0.416,0.5,0.3666666666666667,0.031770006819850274,0.33,0.386,0.44333333333333336,0.0560475988186232,0.386,0.498
mean_fusion,unweighted mean of target scores,3,"7,17,29",1000.0,0.5633333333333334,0.033291640592396934,0.525,0.585,0.6230106666666667,0.03766302044888778,0.58154,0.6550880000000001,0.25870975221584114,0.015366830360561521,0.2441406254556857,0.2747661389192176,0.13699954890665372,0.027745802793481166,0.1082090046798488,0.16356683790297413,0.6197417260289974,0.05381487722609003,0.5576036866359447,0.6512455516014235,0.318,0.06657326790837295,0.242,0.366,0.4192815077589294,0.07131411545092062,0.33751743375174337,0.4686299615877081,0.21670576891085994,0.04948285504188165,0.1624845829155805,0.2594240582486024,0.25466666666666665,0.033471380810079145,0.217,0.281,0.19133333333333336,0.0050332229568471705,0.186,0.196,0.6819999999999999,0.06657326790837295,0.634,0.758
source_logreg_fusion,logistic fusion fitted on paired source predictions,3,"7,17,29",1000.0,0.5543333333333335,0.03415162270424836,0.517,0.584,0.612464,0.03767220641268571,0.57472,0.650064,0.2606730923876527,0.016382200546210743,0.24348869041017765,0.2761135589410191,0.13612658402737263,0.03423747291644692,0.09967561419561512,0.16760724342145666,0.6152198422070528,0.06012036297461018,0.5469613259668509,0.6603053435114504,0.27666666666666667,0.07444013254510856,0.198,0.346,0.3799482548192075,0.08269729421583284,0.2907488986784141,0.4540682414698163,0.4010399430329299,0.34658057305921586,0.18371861577151716,0.8007275369640089,0.22233333333333336,0.04052571200279317,0.181,0.262,0.168,0.008717797887081338,0.162,0.178,0.7233333333333333,0.07444013254510859,0.654,0.802
