candidate,baseline,metric,candidate_mean,baseline_mean,delta_mean
reconstruction_lite_logreg,combined_v3_logreg,accuracy,0.5949999999999999,0.547,0.04799999999999982
reconstruction_lite_logreg,combined_v3_logreg,roc_auc,0.6361519999999999,0.5833646666666666,0.0527873333333333
reconstruction_lite_logreg,combined_v3_logreg,brier_score,0.23773374344567433,0.3338714982785338,-0.09613775483285947
reconstruction_lite_logreg,combined_v3_logreg,expected_calibration_error,0.04304971908557779,0.27512078465202555,-0.23207106556644777
reconstruction_lite_logreg,combined_v3_logreg,precision,0.6026612405007926,0.6009535672683678,0.0017076732324248223
reconstruction_lite_logreg,combined_v3_logreg,recall,0.5566666666666666,0.272,0.2846666666666666
reconstruction_lite_logreg,combined_v3_logreg,f1,0.5779194535701356,0.3740208763314024,0.20389857723873323
reconstruction_lite_logreg,combined_v3_logreg,fake_call_rate,0.46166666666666667,0.225,0.23666666666666666
reconstruction_lite_logreg,combined_v3_logreg,real_false_positive_rate,0.3666666666666667,0.17800000000000002,0.18866666666666668
reconstruction_lite_logreg,combined_v3_logreg,fake_miss_rate,0.44333333333333336,0.7280000000000001,-0.28466666666666673
