score_mode,n_seeds,n_images_total,mean_tiles,accuracy_mean,accuracy_std,roc_auc_mean,roc_auc_std,brier_score_mean,brier_score_std,expected_calibration_error_mean,expected_calibration_error_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,predicted_fake_rate_mean,predicted_fake_rate_std
global,3,342,6.87719298245614,0.6228070175438597,0.015193428136569083,0.8243534482758621,0.028472406358001943,0.33171630575833716,0.011358540849279043,0.35660237982797316,0.016200696108508376,0.5663157894736842,0.010939268258329735,0.9940476190476191,0.01030982623552906,0.7214580856964963,0.006078403241595619,0.8625730994152047,0.025322380227615113
tile_mean,3,342,6.87719298245614,0.6783625730994153,0.039554822393183295,0.8029556650246304,0.04032193483681016,0.2637500909992087,0.03178982396212021,0.28926025953555984,0.03453097927610446,0.6068775965921305,0.03056911132737685,0.9880952380952381,0.01030982623552906,0.7516008536216633,0.023085629372877493,0.8011695906432749,0.041454523037303584
tile_max,3,342,6.87719298245614,0.5964912280701755,0.017543859649122806,0.875615763546798,0.03200193709405483,0.36016261447341996,0.009044501727576008,0.393948137461295,0.0072261241897564835,0.5491603821015586,0.010769920817017326,1.0,0.0,0.7089364924807962,0.008974598632510654,0.8947368421052632,0.017543859649122806
tile_top2_mean,3,342,6.87719298245614,0.6169590643274854,0.025322380227615116,0.893472906403941,0.021597857028689185,0.33283524938435843,0.019959449638369927,0.3731703807057592,0.015150557603323107,0.5621821544151641,0.01601526405519072,1.0,0.0,0.7196493234229084,0.013204122794502629,0.8742690058479532,0.025322380227615182
