variant,constraint_policy,seed,fusion_c,dropout_config,source_fake_rate_cap,selection_validation_utility_mean,selection_validation_utility_min,threshold,threshold_source_utility,threshold_source_predicted_positive_rate,source_utility,source_accuracy,source_precision,source_recall,source_f1,source_roc_auc,source_brier_score,source_expected_calibration_error,source_predicted_positive_rate,target_utility,target_accuracy,target_precision,target_recall,target_f1,target_roc_auc,target_brier_score,target_expected_calibration_error,target_predicted_positive_rate
noise3,cap_0p4,7,0.3,mean0p35x8,0.4,0.9679659215464842,0.4294117647058821,0.986242431336219,1.425,0.4,1.425,0.89,0.9875,0.79,0.8777777777777778,0.992,0.02622799521272439,0.025279530084538156,0.4,0.17118226600985248,0.7631578947368421,0.7457627118644068,0.7857142857142857,0.7652173913043478,0.8845443349753694,0.23915529969986343,0.27051168693086464,0.5175438596491229
noise3,cap_0p4,17,0.03,mean0p35x8,0.4,1.1294388156600434,0.3823529411764708,0.9541108211355198,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9969,0.022660159621598223,0.030775615366997865,0.4,-0.007389162561576235,0.7280701754385965,0.7272727272727273,0.7142857142857143,0.7207207207207207,0.8278940886699507,0.23961987063028437,0.23171362377069388,0.4824561403508772
noise3,cap_0p4,29,0.3,none,0.4,1.1545454545454543,0.5,0.9397460412935571,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9974999999999999,0.02205774835737781,0.043256238723679744,0.4,0.813115763546798,0.8157894736842105,0.8723404255319149,0.7321428571428571,0.7961165048543689,0.8987068965517241,0.20552891135901993,0.22125821460115708,0.41228070175438597
