candidate,seed,run_dir,threshold,threshold_strategy,threshold_source,threshold_max_positive_rate,summary_source_predicted_positive_rate,source_utility,source_accuracy,source_precision,source_recall,source_specificity,source_real_fpr,source_fake_miss_rate,source_positive_rate,source_predicted_positive_rate,target_variant,target_accuracy,target_precision,target_recall,target_f1,target_roc_auc,target_brier_score,target_expected_calibration_error,target_predicted_positive_rate
score_fusion_all6_c003,29,runs/ms_cocoai_to_ishu_neural_fusion/score_fusion_all6_c003_seed29,0.5,fixed,fixed,,0.495,1.5999999999999996,0.945,0.9494949494949495,0.94,0.95,0.050000000000000044,0.06000000000000005,0.5,0.495,ishu_test,0.6842105263157895,0.6162790697674418,0.9464285714285714,0.7464788732394366,0.8833128078817735,0.1924359621206835,0.182425806754983,0.7543859649122807
score_fusion_all6_dropout_mean_r35x8,7,runs/ms_cocoai_to_ishu_neural_fusion/score_fusion_all6_dropout_mean_r35x8_seed7,0.5,fixed,fixed,,0.5,1.775,0.97,0.97,0.97,0.97,0.030000000000000027,0.030000000000000027,0.5,0.5,ishu_test,0.6491228070175439,0.5833333333333334,1.0,0.7368421052631579,0.8362068965517242,0.3063691136170173,0.3374007734334602,0.8421052631578947
score_fusion_all6_dropout_mean_r35x8,17,runs/ms_cocoai_to_ishu_neural_fusion/score_fusion_all6_dropout_mean_r35x8_seed17,0.5,fixed,fixed,,0.5,1.775,0.97,0.97,0.97,0.97,0.030000000000000027,0.030000000000000027,0.5,0.5,ishu_test,0.6578947368421053,0.5934065934065934,0.9642857142857144,0.7346938775510204,0.7958743842364532,0.3239679188510037,0.327973033976681,0.7982456140350878
score_fusion_all6_dropout_mean_r35x8,29,runs/ms_cocoai_to_ishu_neural_fusion/score_fusion_all6_dropout_mean_r35x8_seed29,0.5,fixed,fixed,,0.505,1.7249999999999996,0.965,0.9603960396039604,0.97,0.96,0.040000000000000036,0.030000000000000027,0.5,0.505,ishu_test,0.6491228070175439,0.5869565217391305,0.9642857142857144,0.7297297297297297,0.8897783251231527,0.2866506802105223,0.3172332991848026,0.8070175438596491
score_fusion_all6_dropout_mean_r35x8_temp_balanced,7,runs/ms_cocoai_to_ishu_neural_fusion/score_fusion_all6_dropout_mean_r35x8_temp_balanced_seed7,0.5,fixed,fixed,,0.505,1.7249999999999996,0.965,0.9603960396039604,0.97,0.96,0.040000000000000036,0.030000000000000027,0.5,0.505,ishu_test,0.631578947368421,0.5714285714285714,1.0,0.7272727272727273,0.8383620689655172,0.3086605372303311,0.3415376091185731,0.8596491228070176
score_fusion_all6_dropout_mean_r35x8_temp_balanced,17,runs/ms_cocoai_to_ishu_neural_fusion/score_fusion_all6_dropout_mean_r35x8_temp_balanced_seed17,0.5,fixed,fixed,,0.505,1.7249999999999996,0.965,0.9603960396039604,0.97,0.96,0.040000000000000036,0.030000000000000027,0.5,0.505,ishu_test,0.6666666666666666,0.6022727272727273,0.9464285714285714,0.7361111111111112,0.7891009852216749,0.3065573106497891,0.3208446862777198,0.7719298245614035
score_fusion_all6_dropout_mean_r35x8_temp_balanced,29,runs/ms_cocoai_to_ishu_neural_fusion/score_fusion_all6_dropout_mean_r35x8_temp_balanced_seed29,0.5,fixed,fixed,,0.505,1.7249999999999996,0.965,0.9603960396039604,0.97,0.96,0.040000000000000036,0.030000000000000027,0.5,0.505,ishu_test,0.6578947368421053,0.5934065934065934,0.9642857142857144,0.7346938775510204,0.8934729064039408,0.2664829199925269,0.3063856552563571,0.7982456140350878
score_fusion_all6_c003_source_acc_cap_0p45,7,runs/ms_cocoai_to_ishu_neural_fusion/score_fusion_all6_c003_source_acc_cap_0p45_seed7,0.7224878755875712,source_accuracy,source_calibration,0.45,0.43,1.5749999999999997,0.92,0.9883720930232558,0.85,0.99,0.010000000000000009,0.15000000000000002,0.5,0.43,ishu_test,0.7456140350877193,0.7014925373134329,0.8392857142857143,0.7642276422764228,0.8254310344827586,0.2228802366259784,0.2161680368328001,0.5877192982456141
score_fusion_all6_c003_source_acc_cap_0p45,17,runs/ms_cocoai_to_ishu_neural_fusion/score_fusion_all6_c003_source_acc_cap_0p45_seed17,0.7093367000719771,source_accuracy,source_calibration,0.45,0.445,1.725,0.945,1.0,0.89,1.0,0.0,0.10999999999999999,0.5,0.445,ishu_test,0.6666666666666666,0.6285714285714286,0.7857142857142857,0.6984126984126984,0.7826354679802956,0.2422857038601673,0.2190054996510511,0.6140350877192983
score_fusion_all6_c003_source_acc_cap_0p45,29,runs/ms_cocoai_to_ishu_neural_fusion/score_fusion_all6_c003_source_acc_cap_0p45_seed29,0.6223054621348034,source_accuracy,source_calibration,0.45,0.48,1.6749999999999998,0.95,0.96875,0.93,0.97,0.030000000000000027,0.06999999999999995,0.5,0.48,ishu_test,0.7456140350877193,0.684931506849315,0.8928571428571429,0.7751937984496124,0.8793103448275863,0.1912668759092576,0.1827990196354151,0.6403508771929824
