variant,score_mode,constraint_policy,n_seeds,target_accuracy_mean,target_accuracy_std,target_roc_auc_mean,target_roc_auc_std,target_brier_score_mean,target_brier_score_std,target_expected_calibration_error_mean,target_expected_calibration_error_std,target_precision_mean,target_precision_std,target_recall_mean,target_recall_std,target_f1_mean,target_f1_std,target_predicted_positive_rate_mean,target_predicted_positive_rate_std,source_predicted_positive_rate_mean,source_predicted_positive_rate_std,threshold_source_predicted_positive_rate_mean,threshold_source_predicted_positive_rate_std,selected_configs
jpeg30,global,cap_0p4,3,0.7076023391812866,0.022075539284417404,0.8167077175697864,0.043586027159292946,0.23316692817161222,0.023690352251886274,0.22153365980293557,0.02578543448365703,0.7993022191718143,0.09003975417102014,0.5535714285714285,0.0643848442047141,0.6494299371349924,0.027756445907398907,0.34502923976608185,0.07035794979833897,0.4000000000000001,6.798699777552591e-17,0.4000000000000001,6.798699777552591e-17,seed7:C0.3:mean0p35x8:cap0.4; seed17:C0.03:mean0p35x8:cap0.4; seed29:C0.3:none:cap0.4
jpeg30,tile_mean,cap_0p4,3,0.7076023391812866,0.018260228065492407,0.8212233169129721,0.03602392175706769,0.22470296225971045,0.01731099635555925,0.21550456577841182,0.018928834512749848,0.8031077891424075,0.08675833161666707,0.5476190476190476,0.044939490686135425,0.6476178062171664,0.010957101643952988,0.33918128654970764,0.05970929197854424,0.4000000000000001,6.798699777552591e-17,0.4000000000000001,6.798699777552591e-17,seed7:C0.3:mean0p35x8:cap0.4; seed17:C0.03:mean0p35x8:cap0.4; seed29:C0.3:none:cap0.4
jpeg30,tile_max,cap_0p4,3,0.7222222222222222,0.018260228065492407,0.8292282430213463,0.025741444985421337,0.22991916626056097,0.016723233311138296,0.23119862828367013,0.021700742652370878,0.803784013605442,0.08877480769328734,0.5892857142857143,0.0714285714285714,0.6746176046176046,0.026109686611724962,0.3654970760233918,0.07663942936889566,0.4000000000000001,6.798699777552591e-17,0.4000000000000001,6.798699777552591e-17,seed7:C0.3:mean0p35x8:cap0.4; seed17:C0.03:mean0p35x8:cap0.4; seed29:C0.3:none:cap0.4
jpeg30,tile_top2_mean,cap_0p4,3,0.7163742690058479,0.01339934413729782,0.8291256157635467,0.025386714562436,0.22857792492401618,0.01595364577218425,0.2295424318279705,0.022283359171283882,0.8010752688172044,0.0884649606016362,0.5773809523809524,0.07216878364870324,0.6653286177424108,0.024748807164010317,0.35964912280701755,0.07796661769575076,0.4000000000000001,6.798699777552591e-17,0.4000000000000001,6.798699777552591e-17,seed7:C0.3:mean0p35x8:cap0.4; seed17:C0.03:mean0p35x8:cap0.4; seed29:C0.3:none:cap0.4
