score_mode,n_seeds,n_images_total,mean_tiles,accuracy_mean,accuracy_std,roc_auc_mean,roc_auc_std,brier_score_mean,brier_score_std,expected_calibration_error_mean,expected_calibration_error_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,predicted_fake_rate_mean,predicted_fake_rate_std
global,3,342,6.87719298245614,0.6169590643274855,0.028197809242669482,0.6638444170771757,0.026785861738265,0.34828877658583846,0.025297336017117703,0.35296602724645215,0.026876561774455205,0.5799699271921493,0.01958233757074716,0.7976190476190476,0.057402683101148565,0.6712167946762538,0.030434999446674677,0.6754385964912281,0.040198032411893354
tile_mean,3,342,6.87719298245614,0.6549707602339181,0.025322380227615182,0.6859092775041051,0.025747428246200556,0.29332024547504587,0.0219020864005401,0.25701992615001856,0.029460526738493052,0.6080571799870045,0.020704409595154613,0.8392857142857143,0.03092947870658705,0.7050085183477952,0.020463183804158867,0.6783625730994153,0.028197809242669444
tile_max,3,342,6.87719298245614,0.6052631578947368,0.040198032411893354,0.7414819376026273,0.01616330439483256,0.36109177915400864,0.03383233509408025,0.36986469419108126,0.02991736729957266,0.5589532048498614,0.026244695477235014,0.9404761904761904,0.010309826235528995,0.7010265924551639,0.02339739860112466,0.827485380116959,0.03080600512530039
tile_top2_mean,3,342,6.87719298245614,0.6228070175438597,0.046416689667799854,0.7507183908045977,0.01831465293996106,0.3461047617535358,0.031150543047423512,0.35930454160382147,0.028560684836567422,0.5713352248739715,0.03122325239061626,0.9404761904761904,0.010309826235528995,0.7106204934080912,0.02720296355225615,0.8099415204678362,0.03652045613098477
