candidate,feature_set,classifier,select_k,n_seeds,seeds,n_train_mean,n_test_mean,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_max,brier_score_mean,brier_score_std,brier_score_min,brier_score_max,expected_calibration_error_mean,expected_calibration_error_std,expected_calibration_error_min,expected_calibration_error_max,precision_mean,precision_std,precision_min,precision_max,recall_mean,recall_std,recall_min,recall_max,f1_mean,f1_std,f1_min,f1_max,fake_call_rate_mean,fake_call_rate_std,fake_call_rate_min,fake_call_rate_max,real_false_positive_rate_mean,real_false_positive_rate_std,real_false_positive_rate_min,real_false_positive_rate_max,fake_miss_rate_mean,fake_miss_rate_std,fake_miss_rate_min,fake_miss_rate_max
combined_v3_logreg,combined_v3,logistic_regression,0,3,"7,17,29",160.0,80.0,0.75,0.03307189138830737,0.7125,0.775,0.8116666666666666,0.032115108723672924,0.793125,0.84875,0.1832939289841257,0.020897930437209177,0.15959962854612278,0.1990981730387185,0.1401859789328538,0.03617981798987494,0.10635059699568718,0.1783252256091373,0.7278358497870693,0.029709570333642524,0.7073170731707317,0.7619047619047619,0.7999999999999999,0.07500000000000001,0.725,0.875,0.7610180138422274,0.03906047487098956,0.7160493827160493,0.7865168539325843,0.55,0.05448623679425846,0.5125,0.6125,0.3,0.04999999999999999,0.25,0.35,0.20000000000000004,0.07500000000000001,0.125,0.275
reconstruction_lite_logreg,reconstruction_lite,logistic_regression,0,3,"7,17,29",160.0,80.0,0.6875,0.025000000000000022,0.6625,0.7125,0.7335416666666666,0.06980534691793552,0.654375,0.78625,0.2103910589044559,0.016497970879644375,0.19916085583646828,0.22933263587025143,0.1053148428744559,0.03508129294946513,0.07452909252606331,0.14350849208422006,0.6735107200223479,0.026442795467254854,0.6511627906976745,0.7027027027027027,0.7333333333333334,0.10408329997330662,0.65,0.85,0.6990920725860486,0.041709541711128284,0.6746987951807228,0.7472527472527473,0.5458333333333333,0.08779711460710612,0.4625,0.6375,0.35833333333333334,0.07637626158259732,0.275,0.425,0.26666666666666666,0.10408329997330663,0.15,0.35
