score_mode,constraint_policy,n_seeds,target_accuracy_mean,target_accuracy_std,target_roc_auc_mean,target_roc_auc_std,target_brier_score_mean,target_brier_score_std,target_expected_calibration_error_mean,target_expected_calibration_error_std,target_precision_mean,target_precision_std,target_recall_mean,target_recall_std,target_f1_mean,target_f1_std,target_predicted_positive_rate_mean,target_predicted_positive_rate_std,source_predicted_positive_rate_mean,source_predicted_positive_rate_std,threshold_source_predicted_positive_rate_mean,threshold_source_predicted_positive_rate_std,selected_configs
global,cap_0p4,3,0.7631578947368421,0.05263157894736842,0.8361042692939243,0.0479053882104721,0.2850544122943164,0.029090421841132127,0.30423822696590985,0.024753067793021173,0.7493936188531647,0.07137332299804211,0.7857142857142857,0.0535714285714286,0.7657474773114618,0.04812006239582753,0.5175438596491229,0.05263157894736842,0.4000000000000001,6.798699777552591e-17,0.4000000000000001,6.798699777552591e-17,seed7:C0.3:mean0p35x8:cap0.4; seed17:C0.03:mean0p35x8:cap0.4; seed29:C0.3:none:cap0.4
tile_mean,cap_0p4,3,0.7660818713450293,0.05287468222229568,0.8402093596059114,0.043424429424951255,0.27958906416952267,0.027246586471469034,0.3072110148886293,0.024908258180725236,0.7531596444941903,0.0695655951597357,0.7857142857142857,0.0535714285714286,0.7679054203784957,0.04900457043517207,0.5146198830409356,0.048312022344614916,0.4000000000000001,6.798699777552591e-17,0.4000000000000001,6.798699777552591e-17,seed7:C0.3:mean0p35x8:cap0.4; seed17:C0.03:mean0p35x8:cap0.4; seed29:C0.3:none:cap0.4
tile_max,cap_0p4,3,0.7777777777777777,0.044151078568834816,0.8485221674876846,0.03502688004180335,0.29114226895387657,0.031381402502625916,0.31808640812108324,0.03337458432970194,0.7523488562091504,0.07067605887457522,0.8273809523809524,0.041239304942116105,0.7861681329423265,0.03428023715541247,0.543859649122807,0.06325528553445595,0.4000000000000001,6.798699777552591e-17,0.4000000000000001,6.798699777552591e-17,seed7:C0.3:mean0p35x8:cap0.4; seed17:C0.03:mean0p35x8:cap0.4; seed29:C0.3:none:cap0.4
tile_top2_mean,cap_0p4,3,0.7777777777777777,0.044151078568834816,0.849035303776683,0.03559242913873342,0.28877438473281164,0.02990145574476006,0.3150135812267904,0.03344648781564991,0.7523488562091504,0.07067605887457522,0.8273809523809524,0.041239304942116105,0.7861681329423265,0.03428023715541247,0.543859649122807,0.06325528553445595,0.4000000000000001,6.798699777552591e-17,0.4000000000000001,6.798699777552591e-17,seed7:C0.3:mean0p35x8:cap0.4; seed17:C0.03:mean0p35x8:cap0.4; seed29:C0.3:none:cap0.4
