selection_policy,n_seeds,source_utility_mean,source_utility_std,source_accuracy_mean,source_accuracy_std,source_precision_mean,source_precision_std,source_recall_mean,source_recall_std,source_specificity_mean,source_specificity_std,source_real_fpr_mean,source_real_fpr_std,source_fake_miss_rate_mean,source_fake_miss_rate_std,source_predicted_positive_rate_mean,source_predicted_positive_rate_std,target_accuracy_mean,target_accuracy_std,target_roc_auc_mean,target_roc_auc_std,target_brier_score_mean,target_brier_score_std,target_expected_calibration_error_mean,target_expected_calibration_error_std,target_precision_mean,target_precision_std,target_recall_mean,target_recall_std,target_f1_mean,target_f1_std,target_predicted_positive_rate_mean,target_predicted_positive_rate_std,threshold_mean,threshold_std,selected_candidates
source_utility_cap_0p48,3,1.7083333333333333,0.03818813079129873,0.9483333333333333,0.0028867513459481316,0.9859203296703297,0.015852594625801915,0.91,0.01732050807568879,0.9866666666666667,0.01527525231651948,0.013333333333333345,0.015275252316519482,0.08999999999999997,0.01732050807568879,0.46166666666666667,0.016072751268321573,0.7192982456140351,0.045580284409707315,0.8291256157635468,0.0484432183230013,0.21881093879846777,0.025751691012006733,0.20599085203975542,0.02013476139700933,0.6697183697779291,0.0360352085266789,0.8452380952380952,0.05455447255899812,0.7472021656207702,0.04240573978683846,0.6198830409356725,0.018260228065492386,0.6760030178686597,0.046503511356642116,score_fusion_all6_c003_source_acc_cap_0p50; score_fusion_all6_c003_source_acc_cap_0p48; score_fusion_all6_c003_source_acc_cap_0p45
source_utility_unconstrained,3,1.808333333333333,0.028867513459481187,0.9733333333333333,0.0028867513459481316,0.9765319865319865,0.005656866273878155,0.9700000000000001,1.3597399555105182e-16,0.9766666666666666,0.005773502691896263,0.023333333333333355,0.005773502691896262,0.030000000000000027,0.0,0.49666666666666665,0.002886751345948131,0.652046783625731,0.022075539284417404,0.8274835796387521,0.04453798337921173,0.2943976122413217,0.015004340758568852,0.31810068640357786,0.01669447984449532,0.5875935658544353,0.016492746422776074,0.9821428571428572,0.017857142857142794,0.7351005922434495,0.011496261160692575,0.8216374269005847,0.03320999032631739,0.5,0.0,score_fusion_all6; score_fusion_all6; score_fusion_all6
source_utility_cap_0p5,3,1.808333333333333,0.028867513459481187,0.9733333333333333,0.0028867513459481316,0.9765319865319865,0.005656866273878155,0.9700000000000001,1.3597399555105182e-16,0.9766666666666666,0.005773502691896263,0.023333333333333355,0.005773502691896262,0.030000000000000027,0.0,0.49666666666666665,0.002886751345948131,0.652046783625731,0.022075539284417404,0.8274835796387521,0.04453798337921173,0.2943976122413217,0.015004340758568852,0.31810068640357786,0.01669447984449532,0.5875935658544353,0.016492746422776074,0.9821428571428572,0.017857142857142794,0.7351005922434495,0.011496261160692575,0.8216374269005847,0.03320999032631739,0.5,0.0,score_fusion_all6; score_fusion_all6; score_fusion_all6
