method,n_runs,mean_accuracy,mean_roc_auc,mean_brier_score,mean_expected_calibration_error,mean_maximum_calibration_error,mean_score,mean_positive_rate,mean_predicted_positive_rate
combined_v3,3,0.5466666666666667,0.5802586666666667,0.3416977797264747,0.29114174482834443,0.39748584814127136,0.2458637691973438,0.5,0.17400000000000002
scp_fusion_v0,3,0.591,0.7281773333333333,0.31898610488417645,0.3087442326844893,0.4805527156976675,0.19433107275389763,0.5,0.13833333333333334
physics_guided,3,0.606,0.6636693333333333,0.33667148714220146,0.30938615826539007,0.40208240903858994,0.27786345823832553,0.5,0.27066666666666667
convnext_tiny_frozen,3,0.6163333333333333,0.7138800000000001,0.3302081259850456,0.31846333747379046,0.4598072702212302,0.20144411618240618,0.5,0.18699999999999997
resnet18,3,0.58,0.6487713333333333,0.35489200318832353,0.33528801148544507,0.4356860462929491,0.26495129750757657,0.5,0.24533333333333332
