variant,score_mode,constraint_policy,seed,tile_branch,fusion_c,dropout_config,source_fake_rate_cap,selection_validation_utility_mean,selection_validation_utility_min,threshold,threshold_source_utility,threshold_source_predicted_positive_rate,source_utility,source_accuracy,source_precision,source_recall,source_f1,source_roc_auc,source_brier_score,source_expected_calibration_error,source_predicted_positive_rate,target_utility,target_accuracy,target_precision,target_recall,target_f1,target_roc_auc,target_brier_score,target_expected_calibration_error,target_predicted_positive_rate
screenshot,global,cap_0p4,7,dinov2_vits14,0.3,mean0p35x8,0.4,0.9679659215464842,0.4294117647058821,0.986242431336219,1.425,0.4,1.425,0.89,0.9875,0.79,0.8777777777777778,0.992,0.02622799521272439,0.025279530084538156,0.4,-0.17364532019704432,0.7280701754385965,0.6984126984126984,0.7857142857142857,0.7394957983193278,0.8023399014778325,0.32834877032063825,0.35653838251718956,0.5526315789473685
screenshot,tile_mean,cap_0p4,7,dinov2_vits14,0.3,mean0p35x8,0.4,0.9679659215464842,0.4294117647058821,0.986242431336219,1.425,0.4,1.425,0.89,0.9875,0.79,0.8777777777777778,0.992,0.02622799521272439,0.025279530084538156,0.4,-0.08743842364532012,0.7368421052631579,0.7096774193548387,0.7857142857142857,0.7457627118644068,0.8072660098522167,0.3267745729293092,0.35639723530811607,0.543859649122807
screenshot,tile_max,cap_0p4,7,dinov2_vits14,0.3,mean0p35x8,0.4,0.9679659215464842,0.4294117647058821,0.986242431336219,1.425,0.4,1.425,0.89,0.9875,0.79,0.8777777777777778,0.992,0.02622799521272439,0.025279530084538156,0.4,-0.17056650246305438,0.7368421052631579,0.696969696969697,0.8214285714285714,0.7540983606557377,0.8140394088669951,0.343513041480606,0.37336614940059804,0.5789473684210527
screenshot,tile_top2_mean,cap_0p4,7,dinov2_vits14,0.3,mean0p35x8,0.4,0.9679659215464842,0.4294117647058821,0.986242431336219,1.425,0.4,1.425,0.89,0.9875,0.79,0.8777777777777778,0.992,0.02622799521272439,0.025279530084538156,0.4,-0.08435960591133018,0.7456140350877193,0.7076923076923077,0.8214285714285714,0.7603305785123967,0.8106527093596059,0.34026353903716333,0.3701014693808767,0.5701754385964912
screenshot,global,cap_0p4,17,dinov2_vits14,0.03,mean0p35x8,0.4,1.1294388156600434,0.3823529411764708,0.9541108211355198,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9969,0.022660159621598223,0.030775615366997865,0.4,-0.3075738916256158,0.7017543859649122,0.6833333333333333,0.7321428571428571,0.7068965517241379,0.7444581280788177,0.34318911775889943,0.3435921932757088,0.5263157894736842
screenshot,tile_mean,cap_0p4,17,dinov2_vits14,0.03,mean0p35x8,0.4,1.1294388156600434,0.3823529411764708,0.9541108211355198,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9969,0.022660159621598223,0.030775615366997865,0.4,-0.3075738916256158,0.7017543859649122,0.6833333333333333,0.7321428571428571,0.7068965517241379,0.7530788177339901,0.33066020976119026,0.3365501142371562,0.5263157894736842
screenshot,tile_max,cap_0p4,17,dinov2_vits14,0.03,mean0p35x8,0.4,1.1294388156600434,0.3823529411764708,0.9541108211355198,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9969,0.022660159621598223,0.030775615366997865,0.4,-0.2598522167487685,0.7192982456140351,0.6875,0.7857142857142857,0.7333333333333333,0.7783251231527094,0.3421353140727744,0.35495425346684534,0.5614035087719298
screenshot,tile_top2_mean,cap_0p4,17,dinov2_vits14,0.03,mean0p35x8,0.4,1.1294388156600434,0.3823529411764708,0.9541108211355198,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9969,0.022660159621598223,0.030775615366997865,0.4,-0.3044950738916255,0.7105263157894737,0.6825396825396826,0.7678571428571429,0.7226890756302521,0.7752463054187192,0.3395785709488842,0.3500444209738981,0.5526315789473685
screenshot,global,cap_0p4,29,dinov2_vits14,0.3,none,0.4,1.1545454545454543,0.5,0.9397460412935571,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9974999999999999,0.02205774835737781,0.043256238723679744,0.4,0.21274630541871925,0.7631578947368421,0.7543859649122807,0.7678571428571429,0.7610619469026548,0.8426724137931034,0.2848234087836988,0.3175896228982027,0.5
screenshot,tile_mean,cap_0p4,29,dinov2_vits14,0.3,none,0.4,1.1545454545454543,0.5,0.9397460412935571,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9974999999999999,0.02205774835737781,0.043256238723679744,0.4,0.25738916256157623,0.7719298245614035,0.7586206896551724,0.7857142857142857,0.7719298245614035,0.8423645320197044,0.2818510643072735,0.30792895609941917,0.5087719298245614
screenshot,tile_max,cap_0p4,29,dinov2_vits14,0.3,none,0.4,1.1545454545454543,0.5,0.9397460412935571,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9974999999999999,0.02205774835737781,0.043256238723679744,0.4,0.25738916256157623,0.7719298245614035,0.7586206896551724,0.7857142857142857,0.7719298245614035,0.8460591133004927,0.28910685454504537,0.3097393041363241,0.5087719298245614
screenshot,tile_top2_mean,cap_0p4,29,dinov2_vits14,0.3,none,0.4,1.1545454545454543,0.5,0.9397460412935571,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9974999999999999,0.02205774835737781,0.043256238723679744,0.4,0.25738916256157623,0.7719298245614035,0.7586206896551724,0.7857142857142857,0.7719298245614035,0.8460591133004927,0.28808007351246606,0.30860409226658575,0.5087719298245614
