method,source_label,source_name,n,accuracy,mean_fake_score,fake_score_p10,fake_score_p50,fake_score_p90,false_positive_rate,detection_rate,miss_rate
dinov2_vits14_smoke,0,real,500,0.886,0.17472029252006904,0.004420425835996841,0.06597978621721265,0.5621411561965943,0.114,,
dinov2_vits14_smoke,1,sd21,100,0.27,0.3406727053772192,0.02995514776557677,0.22306244075298304,0.9017713725566865,,0.27,0.73
dinov2_vits14_smoke,2,sdxl,100,0.33,0.3645949681848288,0.032264863327145496,0.23996891826391215,0.861153167486191,,0.33,0.67
dinov2_vits14_smoke,3,sd3,100,0.37,0.3912327696895227,0.030950166471302422,0.2836027592420578,0.8836098074913025,,0.37,0.63
dinov2_vits14_smoke,4,dalle3,100,0.35,0.37803871278185397,0.02750589605420825,0.29957960546016693,0.890056324005127,,0.35,0.65
dinov2_vits14_smoke,5,midjourney6,100,0.33,0.34689551858464257,0.015367269236594431,0.1861607804894447,0.8932881057262422,,0.33,0.67
