setting,candidate,feature_set,classifier,n_seeds,seeds,n_eval_mean,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_max,brier_score_mean,brier_score_std,brier_score_min,brier_score_max,expected_calibration_error_mean,expected_calibration_error_std,expected_calibration_error_min,expected_calibration_error_max,precision_mean,precision_std,precision_min,precision_max,recall_mean,recall_std,recall_min,recall_max,f1_mean,f1_std,f1_min,f1_max,maximum_calibration_error_mean,maximum_calibration_error_std,maximum_calibration_error_min,maximum_calibration_error_max,fake_call_rate_mean,fake_call_rate_std,fake_call_rate_min,fake_call_rate_max,real_false_positive_rate_mean,real_false_positive_rate_std,real_false_positive_rate_min,real_false_positive_rate_max,fake_miss_rate_mean,fake_miss_rate_std,fake_miss_rate_min,fake_miss_rate_max
ishu_same_bounded,combined_v3_logreg,combined_v3,logistic_regression,3,"7,17,29",80.0,0.75,0.03307189138830737,0.7125,0.775,0.8116666666666666,0.032115108723672924,0.793125,0.84875,0.1832939289841257,0.020897930437209177,0.15959962854612278,0.1990981730387185,0.1401859789328538,0.03617981798987494,0.10635059699568718,0.1783252256091373,0.7278358497870693,0.029709570333642524,0.7073170731707317,0.7619047619047619,0.7999999999999999,0.07500000000000001,0.725,0.875,0.7610180138422274,0.03906047487098956,0.7160493827160493,0.7865168539325843,0.5089892695347468,0.22301758854586795,0.34199270606040955,0.7622549086809158,0.55,0.05448623679425846,0.5125,0.6125,0.3,0.04999999999999999,0.25,0.35,0.20000000000000004,0.07500000000000001,0.125,0.275
ishu_same_bounded,reconstruction_lite_logreg,reconstruction_lite,logistic_regression,3,"7,17,29",80.0,0.6875,0.025000000000000022,0.6625,0.7125,0.7335416666666666,0.06980534691793552,0.654375,0.78625,0.2103910589044559,0.016497970879644375,0.19916085583646828,0.22933263587025143,0.1053148428744559,0.03508129294946513,0.07452909252606331,0.14350849208422006,0.6735107200223479,0.026442795467254854,0.6511627906976745,0.7027027027027027,0.7333333333333334,0.10408329997330662,0.65,0.85,0.6990920725860486,0.041709541711128284,0.6746987951807228,0.7472527472527473,0.29300906012455624,0.06844479092655813,0.23178718239068985,0.3669051080942154,0.5458333333333333,0.08779711460710612,0.4625,0.6375,0.35833333333333334,0.07637626158259732,0.275,0.425,0.26666666666666666,0.10408329997330663,0.15,0.35
ishu_same_bounded,reconstruction_v2_logreg,reconstruction_v2,logistic_regression,3,"7,17,29",80.0,0.7125,0.06959705453537525,0.65,0.7875,0.755,0.06237800593959381,0.695625,0.8200000000000001,0.19623057145414113,0.022571155739143273,0.17274095595685712,0.2177547219334055,0.11935263378947376,0.04101639539635743,0.07728115411850596,0.1592255082274347,0.6745997712978844,0.046413481363726576,0.625,0.7169811320754716,0.8166666666666668,0.11547005383792512,0.75,0.95,0.7377693990597217,0.07068212581549356,0.6818181818181818,0.8172043010752689,0.29571441650273117,0.1393168178740908,0.15952383406397874,0.4379600258860075,0.6041666666666666,0.05636562191028614,0.55,0.6625,0.39166666666666666,0.05204164998665334,0.35,0.45,0.18333333333333335,0.11547005383792516,0.05,0.25
ishu_to_ms_cocoai_bounded,combined_v3_logreg,combined_v3,logistic_regression,3,"7,17,29",1000.0,0.547,0.03482814953453598,0.508,0.575,0.5833646666666666,0.039151054153538846,0.538174,0.607036,0.3338714982785338,0.022247041630181066,0.31700140228833573,0.3590839345464284,0.27512078465202555,0.03228527491441815,0.2475316479215656,0.3106286813468909,0.6009535672683678,0.07131746595311994,0.5192307692307693,0.6506024096385542,0.272,0.05411099703387474,0.216,0.324,0.3740208763314024,0.06437675048224535,0.3050847457627119,0.4325767690253672,0.4037187812914307,0.04245809451953087,0.3748118825657703,0.45246484202723347,0.225,0.021377558326431952,0.208,0.249,0.17800000000000002,0.020297783130184443,0.16,0.2,0.7280000000000001,0.05411099703387472,0.676,0.784
ishu_to_ms_cocoai_bounded,reconstruction_lite_logreg,reconstruction_lite,logistic_regression,3,"7,17,29",1000.0,0.5949999999999999,0.016462077633154343,0.585,0.614,0.6361519999999999,0.027608621262207204,0.6119199999999999,0.6662079999999999,0.23773374344567433,0.007069130637647678,0.2296782780533044,0.24290371777845673,0.04304971908557779,0.018274014649540614,0.024541807916664313,0.06108049240394759,0.6026612405007926,0.011706724848697716,0.5906183368869936,0.614,0.5566666666666666,0.056047598818623194,0.502,0.614,0.5779194535701356,0.03341617172774919,0.5480349344978166,0.614,0.47315161655229127,0.1810224822860761,0.2684523074790377,0.6121452848116558,0.46166666666666667,0.04247744499535411,0.416,0.5,0.3666666666666667,0.031770006819850274,0.33,0.386,0.44333333333333336,0.0560475988186232,0.386,0.498
ishu_to_ms_cocoai_bounded,reconstruction_v2_logreg,reconstruction_v2,logistic_regression,3,"7,17,29",1000.0,0.572,0.004358898943540678,0.569,0.577,0.5953586666666667,0.019781517569017148,0.5726519999999999,0.60886,0.2602180696718101,0.005772540900760602,0.25358730895861437,0.2641225066676278,0.10438060245809001,0.027450156883886124,0.07970172981766684,0.1339457766971337,0.5729879291617664,0.004003155649249814,0.5686274509803921,0.5764966740576497,0.5673333333333334,0.06236451982764986,0.52,0.638,0.5688779733677464,0.028700707906727557,0.5467928496319664,0.6013195098963242,0.4131681639137657,0.033041567478070764,0.37952146155333394,0.4455693758780973,0.4953333333333334,0.058020111455712814,0.451,0.561,0.42333333333333334,0.05367805262240175,0.382,0.484,0.4326666666666667,0.062364519827649866,0.362,0.48
