seed,split,method,accuracy,roc_auc,brier_score,expected_calibration_error,precision,recall,f1,predicted_positive_rate,n_samples
7,ishu_validation,clip_vit_b_32_frozen,0.9298245614035088,0.9729064039408868,0.057703766792368216,0.05042332886615185,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.49122807017543857,114
7,ishu_to_ms_cocoai,clip_vit_b_32_frozen,0.643,0.882344,0.29749199526114084,0.3204588510974321,0.9230769230769231,0.312,0.4663677130044843,0.169,1000
17,ishu_validation,clip_vit_b_32_frozen,0.9210526315789473,0.9716748768472907,0.07244682700168278,0.07935678372088746,0.9433962264150944,0.8928571428571429,0.9174311926605505,0.4649122807017544,114
17,ishu_to_ms_cocoai,clip_vit_b_32_frozen,0.626,0.8533320000000001,0.326895443938793,0.34290505282864964,0.8987341772151899,0.284,0.4316109422492401,0.158,1000
29,ishu_validation,clip_vit_b_32_frozen,0.8947368421052632,0.9658251231527093,0.08813595360784376,0.07364495496285516,0.8666666666666667,0.9285714285714286,0.896551724137931,0.5263157894736842,114
29,ishu_to_ms_cocoai,clip_vit_b_32_frozen,0.64,0.8566800000000001,0.3192897588306159,0.33445781318975754,0.9320987654320988,0.302,0.4561933534743202,0.162,1000
mean,ishu_to_ms_cocoai,clip_vit_b_32_frozen,0.6363333333333334,0.8641186666666668,0.3145590660101832,0.33260723903861306,0.917969955241404,0.2993333333333333,0.45139066957601487,0.163,1000
mean,ishu_validation,clip_vit_b_32_frozen,0.915204678362573,0.9701354679802957,0.07276218246729825,0.06780835584996482,0.9128781072177299,0.9166666666666666,0.9141847817899701,0.49415204678362573,114
