candidate,feature_set,classifier,n_seeds,seeds,n_target_mean,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_max,brier_score_mean,brier_score_std,brier_score_min,brier_score_max,expected_calibration_error_mean,expected_calibration_error_std,expected_calibration_error_min,expected_calibration_error_max,precision_mean,precision_std,precision_min,precision_max,recall_mean,recall_std,recall_min,recall_max,f1_mean,f1_std,f1_min,f1_max,fake_call_rate_mean,fake_call_rate_std,fake_call_rate_min,fake_call_rate_max,real_false_positive_rate_mean,real_false_positive_rate_std,real_false_positive_rate_min,real_false_positive_rate_max,fake_miss_rate_mean,fake_miss_rate_std,fake_miss_rate_min,fake_miss_rate_max
combined_v3_logreg,combined_v3,logistic_regression,3,"7,17,29",1000.0,0.547,0.03482814953453598,0.508,0.575,0.5833646666666666,0.039151054153538846,0.538174,0.607036,0.3338714982785338,0.022247041630181066,0.31700140228833573,0.3590839345464284,0.27512078465202555,0.03228527491441815,0.2475316479215656,0.3106286813468909,0.6009535672683678,0.07131746595311994,0.5192307692307693,0.6506024096385542,0.272,0.05411099703387474,0.216,0.324,0.3740208763314024,0.06437675048224535,0.3050847457627119,0.4325767690253672,0.225,0.021377558326431952,0.208,0.249,0.17800000000000002,0.020297783130184443,0.16,0.2,0.7280000000000001,0.05411099703387472,0.676,0.784
reconstruction_lite_logreg,reconstruction_lite,logistic_regression,3,"7,17,29",1000.0,0.5949999999999999,0.016462077633154343,0.585,0.614,0.6361519999999999,0.027608621262207204,0.6119199999999999,0.6662079999999999,0.23773374344567433,0.007069130637647678,0.2296782780533044,0.24290371777845673,0.04304971908557779,0.018274014649540614,0.024541807916664313,0.06108049240394759,0.6026612405007926,0.011706724848697716,0.5906183368869936,0.614,0.5566666666666666,0.056047598818623194,0.502,0.614,0.5779194535701356,0.03341617172774919,0.5480349344978166,0.614,0.46166666666666667,0.04247744499535411,0.416,0.5,0.3666666666666667,0.031770006819850274,0.33,0.386,0.44333333333333336,0.0560475988186232,0.386,0.498
