phase,phase_label,candidate,baseline,n_paired_seeds,seeds,accuracy_delta_mean,accuracy_delta_min,accuracy_delta_max,accuracy_delta_ci_low,accuracy_delta_ci_high,roc_auc_delta_mean,roc_auc_delta_min,roc_auc_delta_max,roc_auc_delta_ci_low,roc_auc_delta_ci_high,brier_score_delta_mean,brier_score_delta_min,brier_score_delta_max,brier_score_delta_ci_low,brier_score_delta_ci_high,expected_calibration_error_delta_mean,expected_calibration_error_delta_min,expected_calibration_error_delta_max,expected_calibration_error_delta_ci_low,expected_calibration_error_delta_ci_high,precision_delta_mean,precision_delta_min,precision_delta_max,precision_delta_ci_low,precision_delta_ci_high,recall_delta_mean,recall_delta_min,recall_delta_max,recall_delta_ci_low,recall_delta_ci_high,f1_delta_mean,f1_delta_min,f1_delta_max,f1_delta_ci_low,f1_delta_ci_high,fake_call_rate_delta_mean,fake_call_rate_delta_min,fake_call_rate_delta_max,fake_call_rate_delta_ci_low,fake_call_rate_delta_ci_high,real_false_positive_rate_delta_mean,real_false_positive_rate_delta_min,real_false_positive_rate_delta_max,real_false_positive_rate_delta_ci_low,real_false_positive_rate_delta_ci_high,fake_miss_rate_delta_mean,fake_miss_rate_delta_min,fake_miss_rate_delta_max,fake_miss_rate_delta_ci_low,fake_miss_rate_delta_ci_high
ishu_holdout,Ishu holdout split,combined_v4_logreg,combined_v3_logreg,3,"7,17,29",-0.011695906432748537,-0.02631578947368418,0.0,-0.02631578947368418,0.0,0.002770935960591192,0.0,0.005233990147783363,0.0,0.005233990147783363,0.0002536312908861758,-0.0027158221755223533,0.0018529534183470836,-0.0027158221755223533,0.0018529534183470836,0.009180755682295455,-0.005531621220223257,0.02901357999584253,-0.005531621220223257,0.02901357999584253,-0.0076074485349966565,-0.02033898305084747,0.007797270955165692,-0.02033898305084747,0.007797270955165692,-0.017857142857142832,-0.0357142857142857,0.017857142857142905,-0.0357142857142857,0.017857142857142905,-0.012973756673588133,-0.027586206896551668,0.0028242289111855,-0.027586206896551668,0.0028242289111855,-0.005847953216374269,-0.026315789473684237,0.01754385964912275,-0.026315789473684237,0.01754385964912275,0.00574712643678162,-0.017241379310344807,0.017241379310344834,-0.017241379310344807,0.017241379310344834,0.01785714285714286,-0.01785714285714285,0.035714285714285726,-0.01785714285714285,0.035714285714285726
ishu_holdout,Ishu holdout split,combined_v4_logreg_selectk60,combined_v3_logreg,3,"7,17,29",-0.029239766081871326,-0.03508771929824561,-0.01754385964912275,-0.03508771929824561,-0.01754385964912275,-0.016830870279146093,-0.030480295566502447,-0.007081280788177269,-0.030480295566502447,-0.007081280788177269,0.011548947718583358,0.004909004983456755,0.01704014796998264,0.004909004983456755,0.01704014796998264,-0.0007862301356602828,-0.02667880280702313,0.03102738341089173,-0.02667880280702313,0.03102738341089173,-0.030673515495275566,-0.043067518755209866,-0.007017543859649034,-0.043067518755209866,-0.007017543859649034,-0.023809523809523763,-0.0357142857142857,-0.017857142857142794,-0.0357142857142857,-0.017857142857142794,-0.02790211397482682,-0.03136380527684868,-0.021366499242605475,-0.03136380527684868,-0.021366499242605475,0.005847953216374269,-0.017543859649122806,0.01754385964912286,-0.017543859649122806,0.01754385964912286,0.03448275862068967,0.0,0.0517241379310345,0.0,0.0517241379310345,0.02380952380952382,0.017857142857142877,0.0357142857142857,0.017857142857142877,0.0357142857142857
ishu_to_ms_cocoai,Ishu -> source-balanced MS COCOAI,combined_v4_logreg,combined_v3_logreg,3,"7,17,29",0.013333333333333308,0.009000000000000008,0.018000000000000016,0.009000000000000008,0.018000000000000016,-0.000204000000000056,-0.006483999999999934,0.0039319999999999355,-0.006483999999999934,0.0039319999999999355,0.004248908443377479,0.0034009371985494474,0.004848197585534397,0.0034009371985494474,0.004848197585534397,0.00530182439972704,-0.005901487494649693,0.011807133115219914,-0.005901487494649693,0.011807133115219914,0.034032755444070806,0.012541329380914457,0.059047390137403344,0.012541329380914457,0.059047390137403344,0.02,0.015999999999999986,0.025999999999999995,0.015999999999999986,0.025999999999999995,0.02608547476608299,0.023599758952291217,0.029370439964112205,0.023599758952291217,0.029370439964112205,0.006666666666666672,-0.0020000000000000018,0.017000000000000015,-0.0020000000000000018,0.017000000000000015,-0.0066666666666666775,-0.020000000000000004,0.00799999999999998,-0.020000000000000004,0.00799999999999998,-0.020000000000000018,-0.026000000000000023,-0.016000000000000014,-0.026000000000000023,-0.016000000000000014
ishu_to_ms_cocoai,Ishu -> source-balanced MS COCOAI,combined_v4_logreg_selectk60,combined_v3_logreg,3,"7,17,29",0.008666666666666637,0.0,0.016000000000000014,0.0,0.016000000000000014,0.011923999999999971,-0.02334000000000014,0.03652,-0.02334000000000014,0.03652,-0.015613791924591095,-0.028052773303563594,0.0018630937203223397,-0.028052773303563594,0.0018630937203223397,-0.02486129577280267,-0.049884759866663214,-0.006192554359006064,-0.049884759866663214,-0.006192554359006064,0.01887349251927854,-0.006477610816103652,0.03930738119312438,-0.006477610816103652,0.03930738119312438,0.015999999999999997,-0.0020000000000000018,0.04200000000000001,-0.0020000000000000018,0.04200000000000001,0.01969049552687339,0.0032372598162071498,0.04751668599003539,0.0032372598162071498,0.04751668599003539,0.007333333333333331,-0.01200000000000001,0.025999999999999995,-0.01200000000000001,0.025999999999999995,-0.0013333333333333437,-0.022000000000000006,0.009999999999999981,-0.022000000000000006,0.009999999999999981,-0.016000000000000014,-0.04200000000000004,0.0020000000000000018,-0.04200000000000004,0.0020000000000000018
