method,standardized_coefficient,raw_score_coefficient,family,seed
combined_v3,0.4676317651947713,1.2578203703638262,scp_fusion_clip,17
resnet18,0.8224938832122319,1.8566301844215585,scp_fusion_clip,17
physics_guided,0.502407526001293,1.1976231635120564,scp_fusion_clip,17
convnext_tiny_frozen,1.2649398173014994,2.7671777024736746,scp_fusion_clip,17
clip_vit_b_32_frozen,1.330486842654894,2.864574133703443,scp_fusion_clip,17
combined_v3,0.0763176898758126,0.2096735704502341,scp_fusion_clip,29
resnet18,0.3092625019236211,0.7262850451803061,scp_fusion_clip,29
physics_guided,0.4817753913743916,1.0763275156608825,scp_fusion_clip,29
convnext_tiny_frozen,1.2564004407539875,2.7378957444534717,scp_fusion_clip,29
clip_vit_b_32_frozen,1.3776327717309165,2.9706850839982555,scp_fusion_clip,29
combined_v3,0.1728261644406263,0.4631748241835755,scp_fusion_clip,7
resnet18,-0.2148717376447433,-0.4876589333194827,scp_fusion_clip,7
physics_guided,0.5590279698197601,1.2356024033316697,scp_fusion_clip,7
convnext_tiny_frozen,0.6895307840511423,1.479160605985271,scp_fusion_clip,7
clip_vit_b_32_frozen,1.8126067809340245,3.9257509580016174,scp_fusion_clip,7
combined_v3,0.6544455975619665,1.8940927346772027,clip_source_calibrated,17
resnet18,0.438627834493824,0.9873548270787595,clip_source_calibrated,17
physics_guided,0.3947586216483361,0.9579301724818292,clip_source_calibrated,17
convnext_tiny_frozen,1.135143097827645,2.484437169209197,clip_source_calibrated,17
clip_vit_b_32_frozen,1.4548321288273272,3.185991458474614,clip_source_calibrated,17
combined_v3,0.0031106832357235,0.0081870928347877,clip_source_calibrated,29
resnet18,0.5616375074728449,1.318192821079764,clip_source_calibrated,29
physics_guided,0.4803086803191007,1.0770143690187222,clip_source_calibrated,29
convnext_tiny_frozen,0.7844969808585248,1.7193147991480224,clip_source_calibrated,29
clip_vit_b_32_frozen,1.2361418526205428,2.6328650183396567,clip_source_calibrated,29
combined_v3,-0.1069280916832626,-0.2907469401022065,clip_source_calibrated,7
resnet18,-0.3636577587144476,-0.8359137373467491,clip_source_calibrated,7
physics_guided,0.6976949603283669,1.5655897048809158,clip_source_calibrated,7
convnext_tiny_frozen,0.8486085222643408,1.838992114463389,clip_source_calibrated,7
clip_vit_b_32_frozen,1.5815320609718808,3.4061964235584474,clip_source_calibrated,7
combined_v3,0.4179484547183958,1.124183854122747,scp_fusion_all_foundation,17
resnet18,0.9093944781781618,2.05279245498802,scp_fusion_all_foundation,17
physics_guided,0.4802377466291583,1.144775544931693,scp_fusion_all_foundation,17
convnext_tiny_frozen,1.2259857425470515,2.6819619114877007,scp_fusion_all_foundation,17
dinov2_vits14_frozen,0.4318380636949746,0.9759693002461746,scp_fusion_all_foundation,17
clip_vit_b_32_frozen,1.1983237055393154,2.5800233272821367,scp_fusion_all_foundation,17
combined_v3,0.0774112605160893,0.2126780227739283,scp_fusion_all_foundation,29
resnet18,0.2406191077565,0.5650800160419536,scp_fusion_all_foundation,29
physics_guided,0.4801041227549579,1.0725937583263174,scp_fusion_all_foundation,29
convnext_tiny_frozen,1.2198067891048618,2.6581523761177928,scp_fusion_all_foundation,29
dinov2_vits14_frozen,0.188829971028268,0.4412728854813632,scp_fusion_all_foundation,29
clip_vit_b_32_frozen,1.3631742062811207,2.939507076622782,scp_fusion_all_foundation,29
combined_v3,0.1714789586661357,0.4595643072241879,scp_fusion_all_foundation,7
resnet18,-0.2154359028974187,-0.4889393261173035,scp_fusion_all_foundation,7
physics_guided,0.5587644910462424,1.235020044266719,scp_fusion_all_foundation,7
convnext_tiny_frozen,0.6896681219987599,1.4794552192012749,scp_fusion_all_foundation,7
dinov2_vits14_frozen,0.0035301958122169,0.008120575830825,scp_fusion_all_foundation,7
clip_vit_b_32_frozen,1.8118311260948996,3.924071041673486,scp_fusion_all_foundation,7
combined_v3,0.4347980210150683,1.258389965070685,all_foundation_source_calibrated,17
resnet18,0.615939905647179,1.3864857430513589,all_foundation_source_calibrated,17
physics_guided,0.4406650564030935,1.069327762176083,all_foundation_source_calibrated,17
convnext_tiny_frozen,0.9811824737921632,2.147470404683732,all_foundation_source_calibrated,17
dinov2_vits14_frozen,0.6905847781734938,1.5745518771682867,all_foundation_source_calibrated,17
clip_vit_b_32_frozen,1.364515977855969,2.9882047311571536,all_foundation_source_calibrated,17
combined_v3,-0.047129409878126,-0.1240411911729856,all_foundation_source_calibrated,29
resnet18,0.4908099720603265,1.1519568637704694,all_foundation_source_calibrated,29
physics_guided,0.5181788434164668,1.1619320719131367,all_foundation_source_calibrated,29
convnext_tiny_frozen,0.7125542232459973,1.561644023003832,all_foundation_source_calibrated,29
dinov2_vits14_frozen,0.3470102265547793,0.8447659060635835,all_foundation_source_calibrated,29
clip_vit_b_32_frozen,1.2249108346001598,2.608944014125195,all_foundation_source_calibrated,29
combined_v3,-0.1410158224306749,-0.3834344953911909,all_foundation_source_calibrated,7
resnet18,-0.408261123324501,-0.9384402593745828,all_foundation_source_calibrated,7
physics_guided,0.6007152544420484,1.3479724971451152,all_foundation_source_calibrated,7
convnext_tiny_frozen,0.8368767071339468,1.8135684768883515,all_foundation_source_calibrated,7
dinov2_vits14_frozen,0.267078683760781,0.5935538981947458,all_foundation_source_calibrated,7
clip_vit_b_32_frozen,1.5492261907392908,3.3366182326626084,all_foundation_source_calibrated,7
