phase,group_type,group_label,run,n_seeds,n_mean,accuracy_mean,accuracy_min,accuracy_max,roc_auc_mean,roc_auc_min,roc_auc_max,brier_score_mean,brier_score_min,brier_score_max,expected_calibration_error_mean,expected_calibration_error_min,expected_calibration_error_max,predicted_fake_rate_mean,predicted_fake_rate_min,predicted_fake_rate_max,real_false_positive_rate_mean,real_false_positive_rate_min,real_false_positive_rate_max,fake_detection_rate_mean,fake_detection_rate_min,fake_detection_rate_max,mean_fake_score_mean,mean_fake_score_min,mean_fake_score_max
ishu_holdout,ishu_category,animals,combined_v3_logreg,3,19.333333333333332,0.7167133520074697,0.5882352941176471,0.8,0.7870370370370371,0.6111111111111112,0.8888888888888888,0.18974657705953638,0.14427799057624752,0.27047088081165327,0.17799703735061545,0.07341321677455696,0.2696291387957685,0.44598506069094307,0.4117647058823529,0.47619047619047616,0.23148148148148148,0.1111111111111111,0.3333333333333333,0.6683501683501684,0.5,0.7777777777777778,0.4353200209140504,0.4196913059102371,0.4466341685587817
ishu_holdout,ishu_category,animals,combined_v4_logreg,3,19.333333333333332,0.6871148459383752,0.6470588235294118,0.7142857142857143,0.7833894500561168,0.6666666666666667,0.8686868686868687,0.20613612428258618,0.17615542628900888,0.25538620031144926,0.25393189018056045,0.17628848567749497,0.3482691561255385,0.41638655462184876,0.35,0.47058823529411764,0.23148148148148148,0.1111111111111111,0.3333333333333333,0.6123737373737373,0.5454545454545454,0.6666666666666666,0.4115409085445094,0.3903929396532476,0.4224754838163362
ishu_holdout,ishu_category,animals,combined_v4_logreg_selectk60,3,19.333333333333332,0.6645658263305322,0.5294117647058824,0.75,0.7996632996632996,0.6666666666666667,0.898989898989899,0.18701593783448103,0.12950566446905704,0.250051396227627,0.24795254227605992,0.21531619583835154,0.2729727138765156,0.45891690009337066,0.35294117647058826,0.5238095238095238,0.2962962962962963,0.2222222222222222,0.3333333333333333,0.6266835016835017,0.375,0.7777777777777778,0.46919289552921256,0.4355614674003685,0.5060317611224447
ishu_holdout,ishu_category,buildings,combined_v3_logreg,3,19.333333333333332,0.9326599326599325,0.9090909090909091,0.9444444444444444,0.9381410256410256,0.8769230769230769,1.0,0.07154871769846367,0.043517993082848476,0.08713814859611349,0.12265111157052871,0.10953987865812247,0.14333171252575186,0.7239057239057239,0.6666666666666666,0.7777777777777778,0.1976190476190476,0.14285714285714285,0.25,1.0,1.0,1.0,0.654157128571517,0.6186001890649399,0.7039886702679925
ishu_holdout,ishu_category,buildings,combined_v4_logreg,3,19.333333333333332,0.9175084175084175,0.8636363636363636,0.9444444444444444,0.941941391941392,0.8615384615384616,1.0,0.06971333340413505,0.03845703423858597,0.09312820768091984,0.1496906003927316,0.12198505571318993,0.19521783106029028,0.7087542087542088,0.6666666666666666,0.7777777777777778,0.1976190476190476,0.14285714285714285,0.25,0.9761904761904763,0.9285714285714286,1.0,0.6585847530059316,0.6314345178090863,0.7024763986054394
ishu_holdout,ishu_category,buildings,combined_v4_logreg_selectk60,3,19.333333333333332,0.9141414141414143,0.8333333333333334,1.0,0.9292124542124541,0.8769230769230769,1.0,0.09238478899365284,0.05590421781828352,0.1129763246951652,0.1400344916666397,0.0648554869823986,0.20070141222741864,0.7424242424242425,0.6111111111111112,0.8888888888888888,0.2833333333333333,0.0,0.6,1.0,1.0,1.0,0.6787794526377913,0.6459537247816721,0.7375368980897797
ishu_holdout,ishu_category,food,combined_v3_logreg,3,9.333333333333334,0.85,0.8,0.9166666666666666,0.9583333333333334,0.875,1.0,0.1135869879432639,0.06440701883250399,0.17811702025194925,0.21209846297279,0.18372187577188012,0.263595387339592,0.4777777777777778,0.3333333333333333,0.6,0.15873015873015872,0.0,0.3333333333333333,0.8888888888888888,0.6666666666666666,1.0,0.49834204805600973,0.41163062071427703,0.5781015127897262
ishu_holdout,ishu_category,food,combined_v4_logreg,3,9.333333333333334,0.8166666666666665,0.7,0.9166666666666666,0.9351851851851852,0.888888888888889,1.0,0.1225202787289111,0.06830263323518351,0.1695081408947635,0.1672288048520891,0.13297485657191524,0.18947890382260082,0.5111111111111111,0.3333333333333333,0.7,0.21428571428571427,0.0,0.5,0.8888888888888888,0.6666666666666666,1.0,0.490149460062902,0.3865584517285849,0.574027389101684
ishu_holdout,ishu_category,food,combined_v4_logreg_selectk60,3,9.333333333333334,0.7666666666666667,0.6666666666666666,0.8333333333333334,0.8227513227513228,0.7777777777777779,0.8571428571428572,0.17683784508078246,0.11704513502562282,0.22653553294503284,0.2537820369419124,0.24508059148987132,0.27118435688316817,0.5611111111111112,0.5,0.6,0.31746031746031744,0.2857142857142857,0.3333333333333333,0.8888888888888888,0.6666666666666666,1.0,0.5384914494636986,0.5241429718832175,0.5651286959648132
ishu_holdout,ishu_category,human,combined_v3_logreg,3,20.0,0.8356902356902357,0.8,0.8888888888888888,0.8924074074074074,0.83,0.9305555555555556,0.12968556040479873,0.09739308689766112,0.14684416932938707,0.19012626374863761,0.17739142660284415,0.20358461166192268,0.49966329966329964,0.4444444444444444,0.6,0.2388888888888889,0.16666666666666666,0.3,0.9666666666666667,0.9,1.0,0.47516836508408283,0.4095856950007146,0.5705342907109298
