phase,group_type,group_label,seed,run,accuracy,precision,recall,f1,threshold,confusion_matrix,n_samples,brier_score,expected_calibration_error,maximum_calibration_error,roc_auc,n,n_real,n_fake,predicted_fake_rate,real_false_positive_rate,fake_detection_rate,mean_fake_score
ishu_holdout,ishu_category,animals,7,combined_v3_logreg,0.8,0.8888888888888888,0.7272727272727273,0.8,0.5,"[[8, 1], [3, 8]]",20,0.15449085979070834,0.19094875648152085,0.7327686548233032,0.8888888888888888,20,9,11,0.45,0.1111111111111111,0.7272727272727273,0.4196913059102371
ishu_holdout,ishu_category,animals,7,combined_v4_logreg,0.7,0.8571428571428571,0.5454545454545454,0.6666666666666666,0.5,"[[8, 1], [5, 6]]",20,0.1868667462473004,0.23723802873864774,0.5500166416168213,0.8686868686868687,20,9,11,0.35,0.1111111111111111,0.5454545454545454,0.3903929396532476
ishu_holdout,ishu_category,animals,7,combined_v4_logreg_selectk60,0.75,0.8,0.7272727272727273,0.7619047619047619,0.5,"[[7, 2], [3, 8]]",20,0.12950566446905704,0.2729727138765156,0.6233994662761688,0.898989898989899,20,9,11,0.5,0.2222222222222222,0.7272727272727273,0.46598545806482433
ishu_holdout,ishu_category,animals,17,combined_v3_logreg,0.7619047619047619,0.7,0.7777777777777778,0.7368421052631579,0.5,"[[9, 3], [2, 7]]",21,0.14427799057624752,0.07341321677455696,0.2789996266365051,0.8611111111111112,21,12,9,0.47619047619047616,0.25,0.7777777777777778,0.4466341685587817
ishu_holdout,ishu_category,animals,17,combined_v4_logreg,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,"[[9, 3], [3, 6]]",21,0.17615542628900888,0.17628848567749497,0.8600870370864868,0.8148148148148148,21,12,9,0.42857142857142855,0.25,0.6666666666666666,0.42175430216394444
ishu_holdout,ishu_category,animals,17,combined_v4_logreg_selectk60,0.7142857142857143,0.6363636363636364,0.7777777777777778,0.7,0.5,"[[8, 4], [2, 7]]",21,0.181490752806759,0.21531619583835154,0.784866139292717,0.8333333333333334,21,12,9,0.5238095238095238,0.3333333333333333,0.7777777777777778,0.5060317611224447
ishu_holdout,ishu_category,animals,29,combined_v3_logreg,0.5882352941176471,0.5714285714285714,0.5,0.5333333333333333,0.5,"[[6, 3], [4, 4]]",17,0.27047088081165327,0.2696291387957685,0.7631556391716003,0.6111111111111112,17,9,8,0.4117647058823529,0.3333333333333333,0.5,0.43963458827313256
ishu_holdout,ishu_category,animals,29,combined_v4_logreg,0.6470588235294118,0.625,0.625,0.625,0.5,"[[6, 3], [3, 5]]",17,0.25538620031144926,0.3482691561255385,0.7046781778335571,0.6666666666666667,17,9,8,0.47058823529411764,0.3333333333333333,0.625,0.4224754838163362
ishu_holdout,ishu_category,animals,29,combined_v4_logreg_selectk60,0.5294117647058824,0.5,0.375,0.42857142857142855,0.5,"[[6, 3], [5, 3]]",17,0.250051396227627,0.2555687171133126,0.7449701428413391,0.6666666666666667,17,9,8,0.35294117647058826,0.3333333333333333,0.375,0.4355614674003685
ishu_holdout,ishu_category,buildings,7,combined_v3_logreg,0.9444444444444444,0.9166666666666666,1.0,0.9565217391304348,0.5,"[[6, 1], [0, 11]]",18,0.043517993082848476,0.14333171252575186,0.6179603338241577,1.0,18,7,11,0.6666666666666666,0.14285714285714285,1.0,0.6186001890649399
