method,split,n_seeds,default_accuracy,default_accuracy_std,clean_threshold_accuracy,clean_threshold_accuracy_std,oracle_accuracy,oracle_accuracy_std,auc,auc_std
clip_vit_b_32,ms_cocoai_to_ishu_test,3,0.6228070175438597,0.012405382126079768,0.6461988304093568,0.023023414836291833,0.7748538011695907,0.03533054378244028,0.8242508210180624,0.023329480520874576
combined_v3,ms_cocoai_to_ishu_test,3,0.5467836257309941,0.018024602347862514,0.5409356725146198,0.014909413782435038,0.5877192982456141,0.028649002839569334,0.577175697865353,0.04661560062406961
convnext_tiny,ms_cocoai_to_ishu_test,3,0.6578947368421052,0.037216146378239355,0.6783625730994152,0.02981882756487009,0.760233918128655,0.02894589162751949,0.808138341543514,0.030791854597038464
dinov2_vits14,ms_cocoai_to_ishu_test,3,0.6169590643274854,0.04135127375359924,0.6169590643274854,0.035330543782440244,0.6637426900584795,0.04317199725214444,0.6669232348111658,0.025488673183220303
physics_guided,ms_cocoai_to_ishu_test,3,0.6871345029239766,0.05030599571369955,0.6812865497076024,0.05030599571369955,0.7105263157894737,0.051647724364490305,0.7419950738916256,0.04670949732235335
resnet18,ms_cocoai_to_ishu_test,3,0.6403508771929824,0.06243905410544627,0.6491228070175439,0.05593896628569882,0.6783625730994152,0.04660051886113806,0.7005336617405583,0.04065930834843042
score_fusion_all6,ms_cocoai_to_ishu_test,3,0.652046783625731,0.018024602347862514,0.6637426900584795,0.025152997856849817,0.7719298245614035,0.039877724260192544,0.8274835796387521,0.036365111150542265
score_fusion_all6_temp_balanced,ms_cocoai_to_ishu_test,3,0.6578947368421053,0.024810764252159535,0.6637426900584795,0.016540509501439708,0.7631578947368421,0.042973504259354,0.8285098522167488,0.04452343746769324
