variant,baseline_accuracy,baseline_auc,baseline_brier,baseline_ece,best_accuracy_mode,best_accuracy,best_accuracy_auc,accuracy_delta,auc_delta_for_best_accuracy,brier_delta_for_best_accuracy,ece_delta_for_best_accuracy,best_auc_mode,best_auc,best_auc_accuracy,auc_delta,accuracy_delta_for_best_auc,standalone_best_accuracy_mode,standalone_best_accuracy,standalone_best_auc_mode,standalone_best_auc,source_report
blur1,0.7105263157894738,0.7871510673234811,0.3280141616046224,0.3449690664322613,tile_max,0.7251461988304094,0.8031609195402298,0.014619883040935644,0.016009852216748777,0.008177833619799013,0.019412561878633605,tile_max,0.8031609195402298,0.7251461988304094,0.016009852216748777,0.014619883040935644,tile_mean,0.6549707602339182,tile_top2_mean,0.7456896551724137,reports/ms_cocoai_to_ishu_tuned_fusion_blur1_tiled_dinov2_2026_06_14.md
jpeg30,0.7076023391812866,0.8167077175697864,0.2331669275333915,0.2215336615881319,tile_max,0.7222222222222222,0.8292282430213463,0.014619883040935644,0.012520525451559905,-0.003247761272830607,0.009664966695538207,tile_max,0.8292282430213463,0.7222222222222222,0.012520525451559905,0.014619883040935644,tile_mean,0.6578947368421053,tile_top2_mean,0.7469724958949097,reports/ms_cocoai_to_ishu_tuned_fusion_jpeg30_tiled_dinov2_2026_06_14.md
resize_half,0.716374269005848,0.7816091954022989,0.3248704673100018,0.3410046533488222,tile_max,0.7309941520467836,0.7955665024630542,0.014619883040935644,0.013957307060755264,0.007618781513307582,0.012631445955311293,tile_max,0.7955665024630542,0.7309941520467836,0.013957307060755264,0.014619883040935644,tile_mean,0.6374269005847953,tile_top2_mean,0.7412253694581281,reports/ms_cocoai_to_ishu_tuned_fusion_resize_half_tiled_dinov2_2026_06_14.md
