seed,fusion_c,dropout_config,source_fake_rate_cap,n_holdouts,validation_utility_mean,validation_utility_min,validation_accuracy_mean,validation_roc_auc_mean,validation_predicted_positive_rate_mean,threshold_train_predicted_positive_rate_mean,threshold_mean
7,1.0,none,0.4,5,0.9679659215464842,0.42941176470588216,0.8805212433605145,0.9859891498101216,0.1926677488928307,0.3969037496715774,0.984366806996581
7,1.0,none,0.42,5,1.0332656580418729,0.42941176470588216,0.8887414498683922,0.9859891498101216,0.20088795540070842,0.41534704579787435,0.9825405181944646
7,1.0,none,0.45,5,1.1289653015356342,0.5764705882352941,0.8999847827535161,0.9859891498101216,0.21213128828583233,0.4461428552806673,0.9798526412291428
7,1.0,none,0.48,5,1.3522909954495632,0.8705882352941177,0.9254462983736138,0.9859891498101216,0.23759280390593007,0.47536386161385397,0.9739791476836744
7,1.0,none,0.5,5,1.4686592818945758,1.0176470588235293,0.9393902771100684,0.9859891498101216,0.25153678264238477,0.49846071872594877,0.9706123486146261
7,1.0,mean0p35x8,0.4,5,0.9679659215464842,0.42941176470588216,0.8805212433605145,0.9856207913995638,0.1926677488928307,0.3969037496715774,0.9961911767352307
7,1.0,mean0p35x8,0.42,5,0.9887992548798176,0.42941176470588216,0.8832239460632172,0.9856207913995638,0.19537045159553337,0.41534704579787435,0.9954862795276653
7,1.0,mean0p35x8,0.45,5,1.0854046954750278,0.5764705882352941,0.8945043022730357,0.9856207913995638,0.20665080780535186,0.4461428552806673,0.9927303611518168
7,1.0,mean0p35x8,0.48,5,1.2644376723021225,0.7235294117647058,0.9165584459689704,0.9856207913995638,0.22870495150128659,0.47536386161385397,0.9898338188799652
7,1.0,mean0p35x8,0.5,5,1.3165767097352776,0.8705882352941177,0.9223212983736138,0.9856207913995638,0.23446780390593008,0.49846071872594877,0.9861041182268016
7,0.3,none,0.4,5,0.9452386488192115,0.42941176470588216,0.8777434655827367,0.9865913796348579,0.18988997111505287,0.3969037496715774,0.9603420538258103
7,0.3,none,0.42,5,1.0134204670010296,0.42941176470588216,0.8860767989160699,0.9865913796348579,0.19822330444838623,0.41534704579787435,0.9576559292535256
7,0.3,none,0.45,5,1.1535865136568462,0.5764705882352941,0.902837635606369,0.9865913796348579,0.2149841411386852,0.4461428552806673,0.9485616668817757
7,0.3,none,0.48,5,1.2454982783627284,0.7235294117647058,0.9139308183413428,0.9865913796348579,0.226077323873659,0.47536386161385397,0.9375066359936015
7,0.3,none,0.5,5,1.3677276048759426,1.0176470588235293,0.9280460990278767,0.9865913796348579,0.24019260456019298,0.49846071872594877,0.9275602147773941
7,0.3,mean0p35x8,0.4,5,0.9679659215464842,0.42941176470588216,0.8805212433605145,0.9860521639485833,0.1926677488928307,0.3969037496715774,0.9937192682533753
7,0.3,mean0p35x8,0.42,5,1.0105383853146002,0.42941176470588216,0.8859636720906143,0.9860521639485833,0.19811017762293065,0.41534704579787435,0.9926976165834034
