seed,score_mode,feature_set,image_size,tile_size,n_images,mean_tiles,accuracy,roc_auc,brier_score,expected_calibration_error,precision,recall,f1,predicted_fake_rate
7,global,combined_v3,128,512,114,6.824561403508772,0.5263157894736842,0.5726600985221675,0.31709071117345833,0.2650625815582942,0.5128205128205128,0.7142857142857143,0.5970149253731343,0.6842105263157895
7,tile_mean,combined_v3,128,512,114,6.824561403508772,0.5175438596491229,0.5181650246305419,0.31972047438130974,0.24962671665965047,0.5070422535211268,0.6428571428571429,0.5669291338582677,0.6228070175438597
7,tile_max,combined_v3,128,512,114,6.824561403508772,0.5701754385964912,0.6056034482758621,0.33601006958127827,0.3144445312642974,0.5376344086021505,0.8928571428571429,0.6711409395973155,0.8157894736842105
7,tile_top2_mean,combined_v3,128,512,114,6.824561403508772,0.543859649122807,0.6003694581280788,0.32990430385278396,0.3062630111556409,0.5222222222222223,0.8392857142857143,0.6438356164383562,0.7894736842105263
17,global,combined_v3,128,512,114,6.631578947368421,0.543859649122807,0.5224753694581281,0.33740201055788616,0.2863519071977128,0.524390243902439,0.7678571428571429,0.6231884057971014,0.7192982456140351
17,tile_mean,combined_v3,128,512,114,6.631578947368421,0.49122807017543857,0.4458128078817734,0.3475108267307373,0.3008497246363636,0.48717948717948717,0.6785714285714286,0.5671641791044776,0.6842105263157895
17,tile_max,combined_v3,128,512,114,6.631578947368421,0.5263157894736842,0.5520320197044335,0.3574223784678736,0.30708825156876907,0.5104166666666666,0.875,0.6447368421052632,0.8421052631578947
17,tile_top2_mean,combined_v3,128,512,114,6.631578947368421,0.5350877192982456,0.5649630541871922,0.3422392383034726,0.2840507521310396,0.5157894736842106,0.875,0.6490066225165563,0.8333333333333334
29,global,combined_v3,128,512,114,7.175438596491228,0.5701754385964912,0.6363916256157636,0.26903314741285717,0.1901056161160548,0.5492957746478874,0.6964285714285714,0.6141732283464567,0.6228070175438597
29,tile_mean,combined_v3,128,512,114,7.175438596491228,0.5614035087719298,0.5560344827586208,0.2829419953371056,0.18857192510214593,0.5428571428571428,0.6785714285714286,0.6031746031746031,0.6140350877192983
29,tile_max,combined_v3,128,512,114,7.175438596491228,0.543859649122807,0.5855911330049262,0.34112159606254816,0.30735384463741067,0.52,0.9285714285714286,0.6666666666666666,0.8771929824561403
29,tile_top2_mean,combined_v3,128,512,114,7.175438596491228,0.5614035087719298,0.6154556650246306,0.315914760937532,0.27354620338270536,0.5306122448979592,0.9285714285714286,0.6753246753246753,0.8596491228070176
