score_mode,constraint_policy,n_seeds,target_accuracy_mean,target_accuracy_std,target_roc_auc_mean,target_roc_auc_std,target_brier_score_mean,target_brier_score_std,target_expected_calibration_error_mean,target_expected_calibration_error_std,target_precision_mean,target_precision_std,target_recall_mean,target_recall_std,target_f1_mean,target_f1_std,target_predicted_positive_rate_mean,target_predicted_positive_rate_std,source_predicted_positive_rate_mean,source_predicted_positive_rate_std,threshold_source_predicted_positive_rate_mean,threshold_source_predicted_positive_rate_std,selected_configs
global,cap_0p4,3,0.7631578947368421,0.05263157894736842,0.8362068965517242,0.04774848285635974,0.28509491866454256,0.029186216327101108,0.30424315457073237,0.02479784120747351,0.7493936188531647,0.07137332299804211,0.7857142857142857,0.0535714285714286,0.7657474773114618,0.04812006239582753,0.5175438596491229,0.05263157894736842,0.4000000000000001,6.798699777552591e-17,0.4000000000000001,6.798699777552591e-17,seed7:C0.3:mean0p35x8:cap0.4; seed17:C0.03:mean0p35x8:cap0.4; seed29:C0.3:none:cap0.4
tile_mean,cap_0p4,3,0.7573099415204677,0.04831202234461491,0.8440065681444993,0.05410345120993818,0.24270693893924133,0.04679658395317907,0.25746458379274534,0.038619481151344906,0.7605758347481607,0.08193935763650054,0.75,0.04724555912615343,0.7530460015460765,0.04110974194537578,0.4883040935672514,0.06223332354910167,0.4000000000000001,6.798699777552591e-17,0.4000000000000001,6.798699777552591e-17,seed7:C0.3:mean0p35x8:cap0.4; seed17:C0.03:mean0p35x8:cap0.4; seed29:C0.3:none:cap0.4
tile_max,cap_0p4,3,0.7660818713450293,0.05287468222229568,0.8405172413793102,0.05974731197560945,0.3023859213812109,0.029100481068158553,0.32741959171069857,0.019751205375676432,0.7531596444941903,0.0695655951597357,0.7857142857142857,0.0535714285714286,0.7679054203784957,0.04900457043517207,0.5146198830409356,0.048312022344614916,0.4000000000000001,6.798699777552591e-17,0.4000000000000001,6.798699777552591e-17,seed7:C0.3:mean0p35x8:cap0.4; seed17:C0.03:mean0p35x8:cap0.4; seed29:C0.3:none:cap0.4
tile_top2_mean,cap_0p4,3,0.7690058479532164,0.0570737464793659,0.8466748768472905,0.06050248957583233,0.2865227136551066,0.03702274531268297,0.3154374929905946,0.025741142706355715,0.7584813667970448,0.07844817149775409,0.7857142857142857,0.0535714285714286,0.7703972088030059,0.052104306198165626,0.5116959064327485,0.05287468222229569,0.4000000000000001,6.798699777552591e-17,0.4000000000000001,6.798699777552591e-17,seed7:C0.3:mean0p35x8:cap0.4; seed17:C0.03:mean0p35x8:cap0.4; seed29:C0.3:none:cap0.4
