method,bin,bin_lower,bin_upper,count,confidence,accuracy,abs_gap
combined_v3,0,0.0,0.1,1243,0.03630107318472448,0.4336283185840708,0.39732724539934633
combined_v3,1,0.1,0.2,505,0.14279068982837217,0.4792079207920792,0.336417230963707
combined_v3,2,0.2,0.30000000000000004,283,0.24521558302661978,0.45936395759717313,0.21414837457055336
combined_v3,3,0.30000000000000004,0.4,236,0.34601550915483703,0.5635593220338984,0.21754381287906133
combined_v3,4,0.4,0.5,211,0.4435539810578405,0.5924170616113744,0.14886308055353392
combined_v3,5,0.5,0.6000000000000001,129,0.5447591395341149,0.6201550387596899,0.07539589922557499
combined_v3,6,0.6000000000000001,0.7000000000000001,123,0.6488663801332799,0.5772357723577236,0.0716306077755563
combined_v3,7,0.7000000000000001,0.8,104,0.7484125202664962,0.6730769230769231,0.07533559718957306
combined_v3,8,0.8,0.9,94,0.8507067237762694,0.5531914893617021,0.2975152344145673
combined_v3,9,0.9,1.0,72,0.9420609333448939,0.8055555555555556,0.13650537778933836
convnext_tiny_frozen,0,0.0,0.1,1967,0.013537475639117136,0.3777325876970005,0.3641951120578834
convnext_tiny_frozen,1,0.1,0.2,199,0.14613451232113425,0.6080402010050251,0.4619056886838908
convnext_tiny_frozen,2,0.2,0.30000000000000004,119,0.2420838734432429,0.6722689075630253,0.4301850341197824
convnext_tiny_frozen,3,0.30000000000000004,0.4,91,0.3504170569089743,0.6483516483516484,0.2979345914426741
convnext_tiny_frozen,4,0.4,0.5,63,0.45059097097033546,0.6666666666666666,0.21607569569633117
convnext_tiny_frozen,5,0.5,0.6000000000000001,78,0.5545976299505967,0.7307692307692307,0.17617160081863403
convnext_tiny_frozen,6,0.6000000000000001,0.7000000000000001,61,0.64659939242191,0.6885245901639344,0.04192519774202441
convnext_tiny_frozen,7,0.7000000000000001,0.8,91,0.7526121309825352,0.8241758241758241,0.07156369319328892
convnext_tiny_frozen,8,0.8,0.9,98,0.8528633519094817,0.826530612244898,0.026332739664583715
convnext_tiny_frozen,9,0.9,1.0,233,0.9646811641337022,0.8583690987124464,0.10631206542125582
physics_guided,0,0.0,0.1,1719,0.016449785794751964,0.39790575916230364,0.38145597336755166
physics_guided,1,0.1,0.2,195,0.14733967376060972,0.49230769230769234,0.3449680185470826
physics_guided,2,0.2,0.30000000000000004,108,0.2497977781350966,0.5740740740740741,0.32427629593897744
physics_guided,3,0.30000000000000004,0.4,93,0.3468138421735456,0.5806451612903226,0.23383131911677701
physics_guided,4,0.4,0.5,73,0.4552242621167065,0.5342465753424658,0.07902231322575926
physics_guided,5,0.5,0.6000000000000001,83,0.5477742947727801,0.5783132530120482,0.03053895823926811
physics_guided,6,0.6000000000000001,0.7000000000000001,99,0.6515644325150384,0.6666666666666666,0.015102234151628258
physics_guided,7,0.7000000000000001,0.8,107,0.7493597358186669,0.6355140186915887,0.11384571712707814
physics_guided,8,0.8,0.9,121,0.8519936248290637,0.6611570247933884,0.19083660003567526
physics_guided,9,0.9,1.0,402,0.972328040878571,0.753731343283582,0.218596697594989
resnet18,0,0.0,0.1,1749,0.014716084939422643,0.40766152086906804,0.39294543592964537
resnet18,1,0.1,0.2,192,0.14745997272742287,0.5572916666666666,0.4098316939392438
resnet18,2,0.2,0.30000000000000004,138,0.25187276023021643,0.5362318840579711,0.28435912382775463
resnet18,3,0.30000000000000004,0.4,97,0.35274599661532136,0.6494845360824743,0.2967385394671529
resnet18,4,0.4,0.5,88,0.4503635100343011,0.625,0.17463648996569892
resnet18,5,0.5,0.6000000000000001,69,0.5525966381681138,0.6376811594202898,0.08508452125217603
resnet18,6,0.6000000000000001,0.7000000000000001,69,0.6527253121569536,0.5507246376811594,0.1020006744757942
resnet18,7,0.7000000000000001,0.8,84,0.7541845398289817,0.5119047619047619,0.24227977792421984
resnet18,8,0.8,0.9,125,0.8547579302787781,0.664,0.19075793027877808
resnet18,9,0.9,1.0,389,0.9738634872252653,0.7197943444730077,0.25406914275225756
scp_fusion_v0,0,0.0,0.1,1718,0.04172052015249239,0.35448195576251457,0.3127614356100222
scp_fusion_v0,1,0.1,0.2,432,0.14254066447970506,0.5694444444444444,0.4269037799647394
scp_fusion_v0,2,0.2,0.30000000000000004,199,0.24565908930405012,0.6331658291457286,0.3875067398416785
scp_fusion_v0,3,0.30000000000000004,0.4,134,0.3463862644209493,0.7238805970149254,0.3774943325939761
scp_fusion_v0,4,0.4,0.5,102,0.4519806424058772,0.7647058823529411,0.3127252399470639
scp_fusion_v0,5,0.5,0.6000000000000001,77,0.5461540839934809,0.7402597402597403,0.19410565626625942
scp_fusion_v0,6,0.6000000000000001,0.7000000000000001,82,0.6477410160142253,0.8170731707317073,0.16933215471748198
scp_fusion_v0,7,0.7000000000000001,0.8,84,0.7441219694100584,0.8571428571428571,0.11302088773279872
scp_fusion_v0,8,0.8,0.9,118,0.8501973327995227,0.847457627118644,0.002739705680878668
scp_fusion_v0,9,0.9,1.0,54,0.9321795439576404,0.8888888888888888,0.043290655068751516
