phase,group_type,group_label,candidate,baseline,n_paired_seeds,accuracy_delta_mean,accuracy_delta_min,accuracy_delta_max,roc_auc_delta_mean,roc_auc_delta_min,roc_auc_delta_max,brier_score_delta_mean,brier_score_delta_min,brier_score_delta_max,expected_calibration_error_delta_mean,expected_calibration_error_delta_min,expected_calibration_error_delta_max,predicted_fake_rate_delta_mean,predicted_fake_rate_delta_min,predicted_fake_rate_delta_max,real_false_positive_rate_delta_mean,real_false_positive_rate_delta_min,real_false_positive_rate_delta_max,fake_detection_rate_delta_mean,fake_detection_rate_delta_min,fake_detection_rate_delta_max,mean_fake_score_delta_mean,mean_fake_score_delta_min,mean_fake_score_delta_max
ishu_holdout,ishu_category,animals,combined_v4_logreg,combined_v3_logreg,3,-0.02959850606909431,-0.10000000000000009,0.05882352941176472,-0.0036475869809203068,-0.04629629629629639,0.05555555555555558,0.016389547223049805,-0.015084680500204006,0.03237588645659206,0.07593485282994496,0.046289272257126896,0.10287526890293801,-0.02959850606909431,-0.10000000000000003,0.05882352941176472,0.0,0.0,0.0,-0.05597643097643101,-0.18181818181818188,0.125,-0.023779112369541038,-0.029298366256989505,-0.01715910445679636
ishu_holdout,ishu_category,animals,combined_v4_logreg_selectk60,combined_v3_logreg,3,-0.052147525676937444,-0.05882352941176472,-0.04761904761904756,0.012626262626262652,-0.02777777777777779,0.05555555555555558,-0.002730639225055361,-0.024985195321651305,0.03721276223051148,0.06995550492544447,-0.014060421682455915,0.14190297906379457,0.012931839402427666,-0.05882352941176466,0.04999999999999999,0.06481481481481481,0.0,0.1111111111111111,-0.041666666666666664,-0.125,0.0,0.033872874615162064,-0.004073120872764069,0.05939759256366306
ishu_holdout,ishu_category,buildings,combined_v4_logreg,combined_v3_logreg,3,-0.015151515151515138,-0.045454545454545414,0.0,0.0038003663003663237,-0.01538461538461533,0.0267857142857143,-0.0018353842943286288,-0.009583390303214173,0.009138196264490792,0.027039488822202914,-0.021346656812561926,0.08567795240216781,-0.015151515151515174,-0.045454545454545525,0.0,0.0,0.0,0.0,-0.023809523809523798,-0.0714285714285714,0.0,0.004427624434414579,-0.0015122716625530774,0.012834328744146473
ishu_holdout,ishu_category,buildings,combined_v4_logreg_selectk60,combined_v3_logreg,3,-0.01851851851851849,-0.11111111111111105,0.05555555555555558,-0.008928571428571433,-0.0267857142857143,0.0,0.020836071295189173,0.012386224735435047,0.025838176099051716,0.01738338009611097,-0.04468439167572387,0.057369699701666776,0.018518518518518528,-0.05555555555555547,0.11111111111111105,0.0857142857142857,-0.14285714285714285,0.39999999999999997,0.0,0.0,0.0,0.024622324066274254,0.012965208660303262,0.033548227821787235
ishu_holdout,ishu_category,food,combined_v4_logreg,combined_v3_logreg,3,-0.03333333333333336,-0.10000000000000009,0.0,-0.023148148148148102,-0.11111111111111105,0.04166666666666674,0.008933290785647202,-0.008608879357185767,0.03151313731144785,-0.04486965812070088,-0.07411648351699116,-0.0044892216101288795,0.033333333333333326,0.0,0.09999999999999998,0.05555555555555556,0.0,0.16666666666666669,0.0,0.0,0.0,-0.008192587993107717,-0.025072168985692145,0.004568528694411156
ishu_holdout,ishu_category,food,combined_v4_logreg_selectk60,combined_v3_logreg,3,-0.08333333333333333,-0.16666666666666674,0.0,-0.1355820105820105,-0.2222222222222221,-0.04166666666666663,0.06325085713751853,0.008815847019742418,0.12829860819969435,0.041683573969122444,-0.018514224886894193,0.08220623107627031,0.08333333333333336,0.0,0.16666666666666669,0.15873015873015872,0.0,0.3333333333333333,0.0,0.0,0.0,0.040149401407688856,-0.012972816824913025,0.11457205982878804
ishu_holdout,ishu_category,human,combined_v4_logreg,combined_v3_logreg,3,0.0,0.0,0.0,-0.0020370370370370594,-0.020000000000000018,0.01388888888888884,0.0015837395609855874,-0.0074044183274493,0.011068917708740661,-0.019356800522694756,-0.053024727071412314,0.010288643409512577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001893156538333644,-0.008791702951081504,0.004729961921475456
ishu_holdout,ishu_category,human,combined_v4_logreg_selectk60,combined_v3_logreg,3,-0.01329966329966333,-0.050000000000000044,0.05555555555555558,-0.020000000000000018,-0.05999999999999994,0.0,0.02057435268362225,0.004172039809807959,0.03031393456440884,0.018710770020269867,-0.024687978749170753,0.06526437220357673,-0.017003367003366965,-0.055555555555555525,0.050000000000000044,0.005555555555555568,-0.08333333333333333,0.10000000000000003,-0.055555555555555546,-0.16666666666666663,0.0,0.010766495489602198,-0.017802318644416226,0.02546515217141454
ishu_holdout,ishu_category,interior,combined_v4_logreg,combined_v3_logreg,3,-0.033333333333333326,-0.09999999999999998,0.0,0.017361111111111088,-0.04166666666666674,0.0625,-0.003807953199725919,-0.012643140314852211,0.0030716331824466314,0.013522094433816773,-0.00955508172046396,0.026513135060668047,-0.033333333333333326,-0.09999999999999998,0.0,0.0,0.0,0.0,-0.041666666666666664,-0.125,0.0,0.009388306682618938,-0.0024272564798594187,0.021907997434027493
ishu_holdout,ishu_category,interior,combined_v4_logreg_selectk60,combined_v3_logreg,3,-0.033333333333333326,-0.09999999999999998,0.0,0.01909722222222221,0.0,0.04166666666666663,0.005627603501530336,-0.01125147313587771,0.020841279411284774,0.04796145082606626,0.027861287910491223,0.08610700964927681,-0.033333333333333326,-0.09999999999999998,0.0,0.0,0.0,0.0,-0.041666666666666664,-0.125,0.0,-0.01245486616001775,-0.04589832006022332,0.0322815174004063
